dates,blue,green,red,nir,swir1,swir2,thermal,qa,sensor
735800,6341,6702,6719,7327,5167,3933,2623,4,3
735808,308,445,355,1897,1325,747,2924,0,2
735816,568,1507,1536,3394,3365,2636,2918,4,3
735824,148,144,111,291,198,115,2908,2,2
735832,163,188,112,737,343,178,2906,2,3
735840,290,372,332,1601,1123,664,2913,0,2
735856,299,379,411,1464,1045,526,2830,0,2
735864,158,286,258,1461,839,499,2894,0,3
735872,3140,3385,3654,4221,4144,3832,2663,4,2
735880,276,415,458,1168,958,678,2790,0,3
735888,310,321,373,854,846,594,2830,0,2
735896,129,428,473,1062,517,381,2747,0,3
735904,573,581,559,1068,541,385,2759,0,2
735912,134,337,335,930,474,365,2720,0,3
735936,635,534,436,730,378,262,2683,0,2
735992,1483,1320,1222,1658,651,540,2668,4,3
736056,1876,1922,1923,2655,690,560,2728,4,3
736088,2237,2406,2447,2951,644,492,2799,4,3
736096,2026,2247,2356,2805,744,584,2766,4,2
736112,815,964,1092,1957,1616,1131,2836,4,2
736120,111,134,108,305,423,265,2947,0,3
736128,280,299,279,918,652,391,2902,0,2
736136,337,496,396,2008,1396,834,3009,0,3
736144,295,430,365,1983,1393,836,2965,0,2
736152,264,381,308,2017,1296,771,2973,0,3
736160,270,426,374,2031,1362,774,2970,0,2
736168,276,401,330,1899,1274,752,2957,0,3
736184,1812,1774,1729,2826,1929,1536,2620,4,3
736192,291,378,326,1558,1049,537,2902,0,2
736216,188,310,252,1475,923,540,2888,0,3
736224,275,366,354,1314,934,568,2847,0,2
736232,211,331,357,1485,769,456,2779,2,3
736240,20000,20000,20000,5845,3300,2992,2532,4,2
736248,142,188,179,464,326,221,2787,2,3
736256,1411,1408,1402,1827,575,373,2690,3,2
736264,169,257,280,840,710,469,2798,0,3
736272,451,506,465,994,549,391,2753,0,2
736280,157,234,254,747,632,432,2762,0,3
736288,612,559,476,1095,507,366,2735,0,2
736328,317,296,206,919,324,262,2679,0,3
736376,188,342,168,1119,329,331,2698,4,3
736392,960,1039,981,1876,488,418,2725,3,3
736432,1813,2044,2151,2625,665,468,2778,3,2
736464,913,1077,1190,2067,2034,1438,2859,4,2
736480,438,599,675,1568,1714,1210,2924,0,2
736488,348,515,477,1674,1568,1030,2980,0,3
736504,266,435,334,2102,1372,816,2962,0,3
736512,918,1091,1031,2642,1855,1280,2790,0,2
736520,504,653,576,2135,1462,931,2867,2,3
736528,773,868,878,1740,1509,1240,2790,4,2
736544,308,429,394,1864,1254,715,2918,0,2
736552,267,358,293,1845,1131,650,2910,0,3
736560,278,400,360,1740,1189,677,2929,0,2
736568,238,325,271,1656,1028,584,2948,0,3
736584,195,303,264,1525,948,542,2917,0,3
736592,290,419,343,1537,1075,681,2847,0,2
736608,575,641,744,1323,894,574,2747,2,2
736616,2066,1953,2065,2584,2618,2492,2668,4,3
736624,731,782,792,1387,593,420,2722,0,2
736648,118,269,304,1065,455,310,2719,0,3
736664,4914,4901,4998,5367,5447,4963,2564,4,3
736672,687,506,478,871,299,177,2621,0,2
736680,-154,5,-55,573,294,263,2636,0,3
736696,314,270,229,778,306,233,2605,0,3
736712,2142,2039,2008,2467,1042,940,2585,4,3
736752,1365,1344,1265,1899,602,462,2670,3,2
736760,1323,1323,1302,2104,608,486,2668,4,3
736784,2603,2705,2786,3427,1058,730,2690,4,2
736792,9494,9638,9856,9944,5765,4382,2535,4,3
736824,562,790,879,1728,1193,869,2861,4,3
736832,531,666,745,1706,1882,1373,2924,0,2
736840,366,535,579,1585,1691,1184,2998,0,3
736848,637,847,828,2065,1704,1176,2853,0,2
736856,304,475,386,2053,1404,863,2971,0,3
736864,284,488,445,2135,1490,915,2929,0,2
736872,296,451,369,2082,1387,833,3016,0,3
736880,20000,20000,20000,20000,4129,4059,2365,4,2
736888,322,464,391,2220,1407,806,2946,0,3
736896,346,480,422,2058,1504,845,2970,0,2
736904,301,476,406,1965,1307,756,2954,0,3
736912,386,461,440,1580,1058,602,2902,0,2
736920,246,408,349,1812,1147,660,2968,0,3
736936,221,327,292,1645,1041,602,2937,0,3
736944,238,315,330,1469,976,575,2864,0,2
736952,205,304,296,1406,941,560,2943,0,3
736960,300,407,390,1234,993,589,2881,0,2
737008,3324,3495,3629,4096,3825,3638,2440,4,2
737016,641,619,560,1028,215,188,2627,2,3
737024,1037,881,788,1173,405,251,2585,3,2
737048,704,531,421,945,311,240,2621,0,3
