dates,GOSIF
736831,15
736839,-9999
736847,143
736855,225
736863,202
736871,396
736879,308
736887,483
736895,2969
736903,2970
736911,3449
736919,5039
736927,5201
736935,4901
736943,2887
736951,2504
736959,1741
736967,1067
736975,653
736983,469
736991,449
736999,332
737007,354
737015,567
737023,640
737031,820
737039,1291
737047,1491
737055,1577
737060,1770
737068,2259
737076,2769
737084,3093
737092,3638
737100,3584
737108,3139
737116,2371
737124,1961
737132,1207
737140,580
737148,259
737156,135
737164,193
737172,106
737180,78
737188,178
737196,228
737204,138
737212,174
737220,210
737228,421
737236,609
737244,1956
737252,2714
737260,676
737268,1883
737276,4836
737284,4175
737292,4022
737300,3194
737308,1973
737316,1644
737324,1507
737332,874
737340,642
737348,561
737356,542
737364,573
737372,806
737380,818
737388,1387
737396,1409
737404,2225
737412,2034
737420,2037
737425,2686
737433,2533
737441,2993
737449,3347
737457,3476
737465,3382
737473,3074
737481,2085
737489,1502
737497,766
737505,501
737513,230
737521,162
737529,180
737537,184
737545,175
737553,129
737561,16
737569,76
737577,276
737585,360
737593,885
737601,2387
737609,2577
737617,2918
737625,4221
737633,3616
737641,3538
737649,3716
737657,3410
737665,769
737673,1189
737681,1194
737689,559
737697,383
737705,341
737713,275
737721,181
737729,131
737737,242
737745,396
737753,670
737761,1004
737769,1408
737777,1653
737785,1941
737791,2443
737799,3021
737807,3097
737815,3245
737823,3242
737831,3073
737839,2743
737847,2128
737855,1420
737863,557
737871,239
737879,21
737887,55
737895,75
737903,-9999
737911,86
737919,147
737927,288
737935,250
737943,399
737951,451
737959,549
737967,531
737975,531
737983,608
737991,801
737999,3064
738007,2935
738015,3238
738023,3260
738031,3161
738039,3005
738047,2795
738055,2356
738063,1524
738071,792
738079,607
738087,380
738095,373
738103,874
738111,1082
738119,1170
738127,1780
738135,1599
738143,1953
738151,2093
738156,2926
738164,3918
738172,3953
738180,3690
738188,3480
738196,3592
738204,3093
738212,2529
738220,1440
738228,928
738236,348
738244,191
738252,95
738260,60
738268,54
738276,89
738284,60
738292,28
738300,115
738308,36
738316,228
738324,318
738332,661
738340,2281
738348,2478
738356,3481
738364,4695
738372,4649
738380,3642
738388,3377
738396,3081
738404,2682
738412,1695
738420,1216
738428,994
738436,622
738444,410
738452,297
738460,367
738468,405
738476,621
738484,954
738492,2010
738500,2627
738508,2521
738516,2918
738521,2720
738529,2626
738537,2697
738545,3084
738553,3611
738561,3434
738569,2929
738577,2320
738585,1171
738593,503
738601,296
738609,190
738617,119
738625,97
738633,174
738641,207
738649,48
738657,130
738665,307
738673,260
738681,378
738689,529
738697,1709
738705,2266
738713,3278
738721,4839
738729,4437
738737,4380
738745,4058
738753,2532
738761,2176
738769,1816
738777,1284
738785,827
738793,471
738801,383
738809,314
738817,248
738825,310
738833,458
738841,479
738849,1562
738857,1909
738865,1878
738873,2313
738881,2376
738886,2590
738894,3013
738902,3020
738910,2815
738918,3142
738926,2976
738934,2260
738942,1820
738950,1195
738958,723
738966,485
738974,294
738982,106
738990,153
738998,101
739006,64
739014,117
739022,82
739030,121
739038,53
739046,45
739054,225
739062,456
739070,1843
739078,2977
739086,3411
739094,4821
739102,4557
739110,4184
739118,3972
739126,3447
739134,3004
739142,2415
739150,1797
739158,1119
739166,686
739174,589
739182,545
739190,477
739198,523
739206,823
739214,1023
739222,1275
739230,1356
739238,1494
739246,2543
