Tile,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,QA60
20190622T030549_20190622T031831_T50SKC,1828,1990,2152,2430,2745,2977,3204,3076,3392,3332,4832,4098,0
20190627T030551_20190627T031148_T50SKC,2695,3276,2944,2570,2727,3091,3272,3808,3346,6723,3279,2522,0
20190702T030549_20190702T031159_T50SKC,996,1302,1558,1712,2142,2645,2864,2918,2988,3958,3334,2626,2048
20190707T030551_20190707T031148_T50SKC,771,952,1362,1660,2214,2829,3030,3128,3291,3314,4104,3010,0
20190712T030549_20190712T030822_T50SKC,8135,8288,8116,7984,8235,8088,8011,8448,7863,12959,1335,1567,1024
20190717T030551_20190717T031148_T50SKC,9845,10128,10232,10208,10499,10149,9969,10848,9742,15276,3081,3763,1024
20190722T030549_20190722T031745_T50SKC,616,702,908,601,1223,3571,4571,4276,4761,4853,2492,1304,2048
20190727T030551_20190727T031235_T50SKC,991,735,987,836,1437,3862,4979,4589,5184,4922,2469,1394,0
20190801T030549_20190801T031104_T50SKC,9230,8464,7796,7236,8349,8094,8015,8216,7939,15803,4715,4215,1024
20190806T030551_20190806T031147_T50SKC,1955,1944,2000,1642,2226,4930,6337,6020,6607,11066,2609,1508,2048
20190811T030549_20190811T031421_T50SKC,1074,772,984,692,1300,4774,6633,6540,6853,6808,3154,1673,0
20190816T030551_20190816T031414_T50SKC,310,292,450,248,718,3464,5003,5072,5084,5229,1996,877,0
20190821T030549_20190821T031151_T50SKC,11003,11168,11136,11312,11248,11033,11318,11080,11166,12717,6032,4463,1024
20190826T030541_20190826T031315_T50SKC,1424,1238,1188,868,1153,3128,4131,3884,4188,3165,1382,625,0
20190831T030549_20190831T030720_T50SKC,412,425,562,357,816,3206,4449,4596,4704,4720,2038,920,0
20190905T030541_20190905T030727_T50SKC,436,374,462,270,662,2367,2965,3038,3027,3031,1227,517,0
20190910T030549_20190910T031415_T50SKC,4003,3772,4304,4412,4765,5326,5867,5592,5977,5148,4545,3692,1024
20190915T030541_20190915T030726_T50SKC,7793,8104,8240,8416,8437,8484,8621,8744,8692,9191,5478,4648,1024
20190920T030539_20190920T031102_T50SKC,4175,4248,4082,3454,4051,4572,4552,4864,4442,9768,3550,2681,1024
20190925T030541_20190925T031050_T50SKC,701,694,1013,871,1538,2428,2687,2866,3108,3132,2105,1239,0
20190930T030539_20190930T031345_T50SKC,790,882,1078,1094,1645,2081,2351,2468,2736,2809,2499,1597,0
20191005T030601_20191005T030740_T50SKC,10896,10320,10184,9944,10342,9978,9848,10280,9812,15523,4807,4832,1024
20191010T030629_20191010T031458_T50SKC,10093,10808,10312,9560,10288,9721,9470,9376,9025,16089,7038,5738,1024
20191015T030701_20191015T030849_T50SKC,1089,1172,1280,1438,1620,1711,1773,1868,1936,2277,2884,2689,2048
20191020T030739_20191020T031343_T50SKC,1002,1102,1208,1436,1559,1601,1694,1684,1740,2136,2281,2057,2048
20191025T030811_20191025T031522_T50SKC,6406,6520,6684,6616,6825,6691,6581,7108,6531,10197,2214,2477,1024
20191030T030839_20191030T031547_T50SKC,551,796,1058,1424,1534,1597,1656,1770,1728,1706,2187,1995,0
20191104T030911_20191104T031229_T50SKC,1469,1426,1604,1692,1897,2029,2073,2120,2085,2145,2122,1764,0
20191109T030929_20191109T031358_T50SKC,3822,3560,3484,3288,3539,3626,3568,3686,3474,7386,2227,2061,1024
20191114T031001_20191114T031600_T50SKC,371,467,885,1007,1404,2044,2222,2410,2241,2254,2054,1569,0
20191119T031019_20191119T031219_T50SKC,376,555,894,866,1300,2123,2353,2510,2343,2287,1939,1405,0
20191124T031041_20191124T031418_T50SKC,9190,8904,8688,8896,8911,8666,8527,9104,8353,8883,4709,3176,1024
20191129T031049_20191129T031406_T50SKC,5281,6188,6372,6224,6262,6309,6330,7032,6299,5419,5689,5300,1024
20191204T031111_20191204T031709_T50SKC,337,351,736,547,1086,2196,2418,2718,2520,2509,1467,851,0
20191209T031119_20191209T031716_T50SKC,518,628,974,760,1368,2502,2758,2952,2748,2817,1768,1126,0
20191214T031121_20191214T031725_T50SKC,8274,8156,8120,8104,8224,8088,7989,8440,7888,9455,3008,3093,1024
20191219T031129_20191219T031455_T50SKC,1210,1358,1562,1264,1886,3056,3315,3596,3359,3752,1801,1078,2048
20191224T031131_20191224T031600_T50SKC,9893,8792,8464,8296,9134,8844,8784,8752,8705,9965,4945,3692,1024
20191229T031129_20191229T031453_T50SKC,670,783,1018,770,1385,2727,3081,3318,3119,3190,1753,1034,0
20200103T031121_20200103T031723_T50SKC,1383,1282,1518,1230,1818,3210,3572,3640,3660,3823,1944,1219,0
20200108T031109_20200108T031713_T50SKC,4914,5132,5036,4808,4968,5159,5173,5472,4948,6625,1070,1145,1024
20200113T031101_20200113T031530_T50SKC,10051,9608,8952,8616,8805,8728,8575,9352,8301,12150,2697,2953,1024
20200118T031039_20200118T031312_T50SKC,7398,7056,6556,6224,6285,6191,6160,6436,5933,9361,3323,3157,1024
20200123T031021_20200123T031617_T50SKC,5963,5660,5612,5732,5667,6037,6190,6392,6268,3155,3338,3192,1024
20200128T030959_20200128T031221_T50SKC,1169,1158,1268,963,1497,2879,3343,3506,3312,3381,1486,769,0
20200202T030931_20200202T031533_T50SKC,6119,5420,5156,4784,5228,5468,5502,5624,5366,10248,1730,1810,1024
20200207T030909_20200207T031314_T50SKC,5002,4388,3984,3630,3883,4279,4447,4704,4303,6134,3140,2415,1024
20200212T030831_20200212T031435_T50SKC,2012,2144,2134,1852,2156,3955,4660,5072,4799,4729,2474,1433,0
20200217T030809_20200217T030845_T50SKC,313,342,498,285,730,2612,3418,3850,3558,3494,1278,599,0
20200222T030731_20200222T031414_T50SKC,470,484,722,532,1045,3010,3849,4128,3896,4017,1504,826,0
20200227T030659_20200227T031200_T50SKC,7795,7760,7748,7916,8161,8098,8209,8264,8103,10478,6079,5366,1024
20200303T030621_20200303T031221_T50SKC,2,119,510,546,943,2937,3927,4120,4093,2862,1454,832,0
20200308T030549_20200308T030807_T50SKC,9021,9232,8164,7276,7686,7478,7604,9000,7623,15867,5450,4844,1024
20200313T030541_20200313T031139_T50SKC,12448,11488,11112,10944,11127,10826,10649,11120,10372,15442,2697,3064,1024
20200318T030539_20200318T031658_T50SKC,247,258,434,222,619,3024,4728,5184,4866,5067,1258,518,0
20200323T030541_20200323T031226_T50SKC,483,444,586,365,749,3295,5011,5180,5159,5341,1381,599,0
20200328T030539_20200328T031148_T50SKC,169,277,346,204,463,1998,3068,3210,3026,3489,801,344,0
20200402T030541_20200402T031139_T50SKC,8873,9040,9184,9416,9101,9235,9420,9944,9445,5423,2149,2432,1024
20200407T030539_20200407T030810_T50SKC,817,1108,1112,762,1155,3267,4887,5104,5013,5108,1581,788,2048
20200412T030541_20200412T031142_T50SKC,248,229,436,211,675,3346,5230,5669,5401,5619,1475,629,0
20200417T030539_20200417T031818_T50SKC,1223,1462,1472,1262,1521,3185,4613,4880,4815,4846,1324,863,2048
20200422T030541_20200422T031227_T50SKC,537,502,639,448,793,3098,4866,5236,5083,5325,1266,633,0
20200427T030539_20200427T031145_T50SKC,9298,7988,6772,5960,6746,6985,7173,7232,7027,15211,5086,4610,1024
20200502T030551_20200502T031146_T50SKC,502,494,602,412,808,2817,4332,4464,4682,4695,1292,595,0
20200507T030539_20200507T030811_T50SKC,9782,9800,9832,9960,10378,9930,10177,9568,9989,10837,5921,4566,1024
20200512T030551_20200512T031148_T50SKC,110,207,432,292,692,2564,3755,4026,3949,4044,1274,630,0
20200517T030539_20200517T031714_T50SKC,465,610,821,687,1177,2627,3585,3638,3770,3759,1473,813,0
20200522T030551_20200522T031232_T50SKC,517,570,927,777,1462,2676,3166,3394,3487,3519,1523,846,0
20200527T030549_20200527T031643_T50SKC,383,571,901,1276,1779,2164,2462,2858,2919,2979,1957,1224,0
20200601T030551_20200601T031149_T50SKC,593,752,1020,1568,1899,2096,2352,2580,2845,2856,2546,1644,0
20200606T030549_20200606T030815_T50SKC,980,1478,1902,2740,3187,3345,3654,3872,4105,4138,4832,3608,0
20200611T030551_20200611T031149_T50SKC,3145,3962,4304,4616,4751,4851,4929,5360,5078,5381,3254,2509,1024
20200616T030549_20200616T030558_T50SKC,7952,8060,8100,8172,8103,7854,8180,7780,8045,8341,3110,2447,1024
20200621T030551_20200621T031232_T50SKC,1970,1896,1902,2004,2206,2311,2455,2364,2558,3655,3090,2566,1024
20200626T030549_20200626T031152_T50SKC,7121,5820,5508,5208,5403,5578,5759,5760,5711,3487,1654,1691,1024
20200701T030551_20200701T031148_T50SKC,11949,8992,8480,8140,8612,8586,8697,8448,8503,5854,2154,2369,1024
20200706T030549_20200706T030815_T50SKC,593,771,1020,1178,1660,2305,2603,2657,2816,2809,3392,2547,0
20200711T030551_20200711T031147_T50SKC,9226,9096,9112,9120,9492,9166,9030,9328,8870,15372,2594,3077,1024
20200716T030549_20200716T031151_T50SKC,2128,1934,1914,1692,2035,3304,4044,3892,4082,6155,2062,1379,2048
20200721T030551_20200721T031231_T50SKC,2579,2288,2374,2136,2515,3771,4407,4264,4460,8314,2570,1776,2048
20200726T030549_20200726T031145_T50SKC,8920,9040,9152,9376,9305,9151,9544,9432,9544,9878,3725,2740,1024
20200731T030551_20200731T031409_T50SKC,2853,2304,2232,1986,2467,4157,5416,5028,5633,5777,3333,2231,1024
20200805T030549_20200805T030831_T50SKC,2345,2016,1968,1694,2100,3622,4918,4708,5048,12985,2212,1470,2048
20200810T030551_20200810T031409_T50SKC,2206,2440,2432,2254,2558,3645,4502,4272,4654,4588,2890,2007,0
20200815T030549_20200815T031656_T50SKC,88,159,301,181,423,1848,3028,2942,3166,3305,1230,561,0
20200820T030551_20200820T031739_T50SKC,8239,8400,8704,8872,9266,9014,8833,9264,8729,15212,1897,2258,1024
20200825T030549_20200825T030929_T50SKC,8650,8156,7784,7536,7927,7827,7944,8028,7685,15797,2757,2754,1024
20200830T030551_20200830T031738_T50SKC,1027,900,880,637,802,1946,2746,2614,2764,2753,763,336,0
20200904T030549_20200904T031747_T50SKC,257,312,454,320,592,2189,3353,3532,3577,3775,1514,717,0
20200909T030551_20200909T030912_T50SKC,177,241,458,357,721,2379,3327,3348,3662,3655,1546,708,0
20200914T030549_20200914T031612_T50SKC,1070,995,1056,821,1124,2484,3342,3266,3537,3370,1749,871,0
20200919T030551_20200919T031126_T50SKC,470,549,763,661,1101,2468,3070,3178,3334,3272,1914,1005,0
20200924T030549_20200924T030834_T50SKC,697,737,869,813,1210,2049,2473,2464,2687,2730,1928,1118,0
20200929T030551_20200929T031739_T50SKC,5628,6944,7176,6524,6321,6046,5976,7480,6136,8371,4852,3714,1024
20201004T030559_20201004T031757_T50SKC,4987,5108,4964,4872,4930,5051,5222,5472,5221,5198,2661,2802,1024
20201009T030631_20201009T031728_T50SKC,1718,1626,1448,1802,2139,2295,2408,2268,2579,3029,2946,2490,0
20201014T030709_20201014T030704_T50SKC,7761,9160,8976,8392,8580,8318,8564,9776,8585,11838,4478,3897,1024
20201019T030741_20201019T030739_T50SKC,1292,1318,1580,1886,2050,2133,2211,2252,2296,2976,2403,2139,2048
20201024T030809_20201024T031152_T50SKC,1340,1544,1986,2044,2298,2497,2531,2644,2660,2383,2879,2852,0
20201029T030841_20201029T030840_T50SKC,1386,1426,1590,1750,1883,1968,2029,2032,2054,2215,2192,1905,0
20201103T030909_20201103T030906_T50SKC,1979,1906,1998,2048,2237,2365,2468,2546,2561,3448,1826,1682,2048
20201108T030941_20201108T030936_T50SKC,658,796,1128,1334,1586,1866,1956,2060,2043,2045,2086,1681,0
20201113T030959_20201113T031104_T50SKC,1256,1324,1492,1450,1706,2161,2331,2282,2326,2266,2082,1668,0
20201118T031021_20201118T031021_T50SKC,7864,7668,7676,8016,7942,7837,7919,7608,7856,8138,5143,4527,1024
20201123T031039_20201123T031414_T50SKC,8233,8160,8288,8328,8585,8355,8201,8136,8023,9897,3377,3752,1024
20201128T031101_20201128T031056_T50SKC,3875,3686,3688,3592,3688,3941,3954,4082,3892,3882,1397,1405,1024
20201203T031109_20201203T031108_T50SKC,1763,1714,1790,1582,1903,2754,2966,3084,2905,3024,1693,1092,0
20201208T031121_20201208T031118_T50SKC,4101,4100,4180,3894,4004,4396,4527,4708,4479,3817,3749,3426,1024
20201213T031129_20201213T031451_T50SKC,3417,3294,3182,2934,3169,3849,4044,4304,4021,5480,2177,1918,1024
20201218T031131_20201218T031132_T50SKC,962,1003,1214,1003,1548,2773,3031,3264,3119,3323,1757,1096,0
20201228T031131_20201228T031132_T50SKC,1669,1618,1780,1516,2033,3214,3467,3584,3512,3727,1845,1092,0
20210102T031129_20210102T031126_T50SKC,438,607,886,781,1374,2687,3133,3426,3255,3351,1994,1268,0
20210107T031121_20210107T031118_T50SKC,366,450,780,719,1276,2522,2801,3264,2988,2837,1846,1186,2048
20210112T031109_20210112T031105_T50SKC,263,506,813,812,1270,2352,2710,3034,2907,2932,2089,1406,0
20210117T031051_20210117T031049_T50SKC,236,389,704,690,1190,2285,2640,3013,2841,2740,1902,1236,0
20210122T031029_20210122T031359_T50SKC,2081,2246,2320,2308,2470,2768,2924,3020,2967,3482,1605,1340,1024
20210127T031011_20210127T031006_T50SKC,6418,5880,5512,5112,5437,5520,5521,5816,5393,10462,2572,2542,1024
20210201T030939_20210201T030940_T50SKC,2094,2342,2134,1926,2077,2455,2553,2974,2621,3201,1462,1281,2048
20210206T030911_20210206T030913_T50SKC,2540,2392,2266,2088,2506,3488,3785,4188,3916,4619,2102,1644,2048
20210211T030839_20210211T031225_T50SKC,385,488,697,681,1166,2423,3017,3284,3075,3302,1736,1069,0
20210216T030811_20210216T030809_T50SKC,1175,989,1212,1116,1504,2856,3407,3640,3612,4242,1565,1072,2048
20210221T030739_20210221T031119_T50SKC,265,337,509,403,869,2508,3393,3672,3545,3645,1489,805,0
20210226T030701_20210226T030701_T50SKC,4257,5048,5328,5348,5315,5514,5655,6576,5656,6505,4465,3485,1024
20210303T030629_20210303T030626_T50SKC,253,407,509,347,773,2602,3646,3962,3631,3886,1226,607,0
20210308T030551_20210308T031716_T50SKC,8297,8036,7760,7700,7853,7878,7969,8368,7865,9159,3953,3618,1024
20210313T030539_20210313T031641_T50SKC,11343,10656,9944,9488,9961,9614,9551,9776,9245,16184,6476,5181,1024
20210318T030541_20210318T031739_T50SKC,11113,11368,11360,11664,12201,11822,11596,11560,11300,12896,6777,4575,1024
20210323T030539_20210323T030910_T50SKC,1549,1952,1734,1512,1687,2463,3158,3462,3200,4139,1162,982,2048
20210328T030541_20210328T031738_T50SKC,192,230,427,286,678,2816,4249,4572,4425,4542,1105,500,0
20210402T030539_20210402T031749_T50SKC,7746,7692,7784,7948,8221,8171,8409,8224,8388,8490,4118,3012,1024
20210407T030541_20210407T031703_T50SKC,7834,7772,7916,7896,7724,7867,8020,8576,8004,5270,2156,2433,1024
20210412T030539_20210412T031725_T50SKC,1265,1152,1142,866,1158,3064,4651,4740,4714,4822,1332,657,0
20210417T030541_20210417T031734_T50SKC,179,189,326,199,542,2618,4164,4532,4360,4495,1023,500,0
20210422T030539_20210422T030826_T50SKC,7151,6476,6088,5796,6257,6683,7284,7140,7194,9186,5469,4929,1024
20210427T030541_20210427T031737_T50SKC,4364,4428,4112,3818,3964,4679,5257,5648,5265,8845,1824,1816,2048
20210502T030539_20210502T031747_T50SKC,2780,2428,2364,2150,2456,3424,4275,4352,4368,7615,1633,1415,2048
20210507T030541_20210507T031706_T50SKC,2253,2078,2122,2014,2189,3383,4316,4568,4536,2034,1710,1297,2048
20210512T030539_20210512T031640_T50SKC,3473,3342,3088,2750,3062,3971,4846,4828,4959,4358,2937,2233,1024
20210517T030541_20210517T031740_T50SKC,1379,1264,1330,1156,1515,2681,3397,3482,3555,4258,1152,839,2048
20210522T030539_20210522T030911_T50SKC,29,128,361,222,738,2059,2752,2918,2966,3023,1124,552,0
20210527T030541_20210527T031741_T50SKC,5710,4856,4536,4396,4635,4651,4690,4912,4685,10830,1870,1915,1024
20210601T030549_20210601T031752_T50SKC,4413,4304,4140,4040,4427,4485,4576,4688,4667,11756,2639,2372,1024
20210606T030541_20210606T031708_T50SKC,812,1028,1378,2148,2725,3016,3319,3118,3723,3487,4168,2853,0
20210611T030549_20210611T031730_T50SKC,1501,1794,2112,2722,3130,3204,3556,3576,3914,3885,4505,3441,0
20210616T030541_20210616T031740_T50SKC,8277,8688,8904,8880,8855,8657,8743,8640,8750,8463,5479,3983,1024
20210621T030549_20210621T030927_T50SKC,2299,2574,2894,3022,3342,3462,3587,3760,3660,6546,3932,3473,2048
20210626T030541_20210626T031742_T50SKC,2527,2842,2558,2742,2812,3086,3280,3362,3464,5343,3297,2362,2048
20210701T030549_20210701T030927_T50SKC,1829,2038,2316,2578,3026,3719,4223,4096,4536,4437,4677,3320,2048
20210706T030551_20210706T031302_T50SKC,6451,6372,6412,6524,6670,6720,6796,6916,6899,9042,3206,2446,1024
20210711T030549_20210711T031644_T50SKC,3227,4648,4724,4252,4493,5055,5500,6128,5529,5066,3514,2822,1024
20210716T030551_20210716T031743_T50SKC,3028,3662,3548,3052,3585,4463,4867,4976,4806,11579,3420,2449,1024
20210721T030549_20210721T030913_T50SKC,10753,10360,10360,10368,11313,10797,10372,10792,9976,15376,2062,2706,1024
20210726T030551_20210726T031744_T50SKC,370,359,509,346,655,1660,2070,2018,2050,2265,994,481,0
20210731T030549_20210731T031753_T50SKC,719,1086,1520,1870,2639,3149,3479,3572,3795,3746,3821,2623,0
20210805T030551_20210805T031743_T50SKC,9716,9424,8712,8208,9193,8526,8140,8416,7867,15686,1959,2401,1024
20210810T030549_20210810T031730_T50SKC,5961,5912,5428,4904,5486,5682,5890,6196,5778,15676,2975,3218,1024
20210815T030551_20210815T031743_T50SKC,2132,1852,1898,2132,2452,2566,2784,2584,3011,3200,4075,3554,0
20210820T030539_20210820T030925_T50SKC,6871,6336,5960,5616,5724,5529,5864,5644,5879,15455,4305,3356,1024
20210825T030541_20210825T031713_T50SKC,662,823,1132,1484,1807,2158,2360,2402,2570,2672,3436,2934,0
20210830T030539_20210830T031748_T50SKC,7742,7384,7764,7884,8499,8246,8173,8168,8015,15430,2489,2786,1024
20210904T030541_20210904T031708_T50SKC,665,765,1135,1484,1773,2058,2360,2502,2470,2672,3430,2876,0
20210909T030539_20210909T030922_T50SKC,725,724,1050,1106,1588,2171,2436,2392,2600,2673,2510,1837,2048
20210914T030541_20210914T031741_T50SKC,660,767,1160,1244,1743,2369,2540,2547,2740,2783,3134,2499,0
20210919T030539_20210919T030908_T50SKC,9460,9840,10056,10232,10600,10221,10164,10480,9944,15162,2068,2594,1024
20210924T030551_20210924T031744_T50SKC,3417,4084,4308,4820,4997,4931,4928,5196,5046,6407,4517,3666,1024
20210929T030539_20210929T031750_T50SKC,363,426,667,560,916,1679,1937,2044,1955,2081,1120,686,0
20211004T030551_20211004T031719_T50SKC,8326,7984,7492,7196,7668,7392,7267,6964,7258,10097,6879,6010,1024
20211009T030629_20211009T031812_T50SKC,7423,7428,7564,7780,7071,7262,7863,7504,7990,881,5372,3221,1024
20211014T030701_20211014T030703_T50SKC,3288,3316,3518,3486,3758,4020,4253,4124,4427,3068,4102,3260,1024
20211019T030729_20211019T031116_T50SKC,9438,8320,8056,7696,7854,7707,7678,7896,7511,4843,2871,2784,1024
20211024T030811_20211024T030808_T50SKC,1046,1034,1184,1372,1497,1495,1523,1516,1534,1591,1795,1625,0
20211029T030839_20211029T030835_T50SKC,4231,4288,4020,3776,3948,3790,3705,3842,3590,7258,1996,1855,2048
20211103T030911_20211103T030907_T50SKC,5665,5500,5036,4396,4716,4703,4675,5412,4663,12307,4066,4233,2048
20211108T030929_20211108T031012_T50SKC,101,260,527,680,879,1155,1279,1372,1310,1323,1370,1075,0
20211113T031001_20211113T030956_T50SKC,431,511,852,1007,1260,1673,1787,1944,1823,1883,1761,1420,0
20211118T031019_20211118T031014_T50SKC,345,497,794,813,1185,1887,2060,2078,2078,2111,1770,1345,0
20211123T031031_20211123T031028_T50SKC,375,435,764,766,1149,1988,2205,2359,2246,2291,1704,1207,0
20211128T031049_20211128T031050_T50SKC,567,712,940,805,1232,2227,2519,2520,2497,2566,1696,1153,0
20211203T031111_20211203T031109_T50SKC,307,386,721,634,1164,2394,2627,2824,2713,2750,1709,1110,0
20211208T031119_20211208T031437_T50SKC,5315,5900,5336,5040,5218,5341,5332,5648,5230,5902,4674,4039,1024
20211213T031131_20211213T031128_T50SKC,1121,1072,1280,994,1559,2926,3154,3288,3212,3133,1576,914,0
20211218T031129_20211218T031512_T50SKC,282,491,812,595,1233,2789,3202,3406,3264,3348,1750,1036,0
20211223T031141_20211223T031136_T50SKC,4781,5140,4716,4652,5018,5181,4969,5308,4855,6907,3575,3153,1024
20211228T031129_20211228T031129_T50SKC,488,588,854,621,1266,2920,3377,3603,3446,3582,1782,1022,0
20220102T031131_20220102T031129_T50SKC,4480,3984,3650,3418,3768,4568,4766,5112,4794,6616,2803,2371,2048
20220107T031119_20220107T031250_T50SKC,5326,5296,4980,4664,5003,5470,5546,5812,5383,8594,4391,4167,1024
20220112T031111_20220112T031107_T50SKC,6450,5584,5376,5072,5319,5806,6037,6024,5982,5280,4261,3645,1024
20220117T031049_20220117T031413_T50SKC,6696,6944,6976,7148,7136,7312,7495,7840,7509,3180,6629,5495,1024
20220122T031021_20220122T031636_T50SKC,11372,10928,10536,10456,10670,10281,10086,10496,9992,15087,4911,4683,1024
20220127T030959_20220127T031440_T50SKC,11660,5712,5456,5260,7741,7848,7983,5512,7593,2655,4079,3066,0
20220201T030941_20220201T031822_T50SKC,455,482,730,556,1196,2934,3424,3780,3528,3543,1558,815,0
20220206T030909_20220206T031415_T50SKC,2118,2578,2382,2084,2413,3400,3717,4172,3734,4205,2600,2335,0
20220211T030841_20220211T031626_T50SKC,6156,3376,3288,3148,4500,5340,5595,4376,5466,2081,3485,2727,0
20220216T030809_20220216T031645_T50SKC,9600,8640,8616,8856,9759,9765,9959,9480,9929,5573,6526,4940,1024
20220221T030741_20220221T031016_T50SKC,1061,1020,1076,903,1439,2917,3386,3552,3465,3668,1405,919,0
20220226T030659_20220226T031044_T50SKC,226,367,600,498,1015,2871,3603,3952,3761,3789,1592,864,0
20220303T030631_20220303T031450_T50SKC,1690,1528,1656,1406,1862,3727,4550,4764,4640,5373,1966,1267,0
20220308T030549_20220308T031212_T50SKC,207,303,502,378,821,2848,3907,4064,4013,4152,1358,669,0
20220313T030551_20220313T031404_T50SKC,7848,7288,7416,7704,7874,8147,8614,8016,8695,1783,6499,4518,1024
20220318T030539_20220318T031738_T50SKC,309,427,594,461,805,2731,4017,4112,4113,4267,1251,675,0
20220323T030551_20220323T031320_T50SKC,70,118,354,238,650,2879,4287,4420,4356,4464,1086,489,0
20220328T030539_20220328T031408_T50SKC,943,2402,2324,1866,2057,3226,4250,5260,4127,4613,2043,1110,0
20220402T030541_20220402T031232_T50SKC,455,434,539,350,709,2940,4516,4744,4642,4806,1094,499,0
20220407T030539_20220407T031751_T50SKC,373,440,537,372,691,2794,4552,4749,4704,4848,1172,555,0
