scheme	URI
campylobacter	https://rest.pubmlst.org/db/pubmlst_campylobacter_seqdef/schemes/1
campylobacter_nonjejuni	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/1
campylobacter_nonjejuni_2	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/2
campylobacter_nonjejuni_3	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/3
campylobacter_nonjejuni_4	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/4
campylobacter_nonjejuni_5	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/5
campylobacter_nonjejuni_6	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/6
campylobacter_nonjejuni_7	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/7
campylobacter_nonjejuni_8	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/8
campylobacter_nonjejuni_9	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/9
cbotulinum	https://rest.pubmlst.org/db/pubmlst_cbotulinum_seqdef/schemes/1
cdifficile	https://rest.pubmlst.org/db/pubmlst_cdifficile_seqdef/schemes/1
cfreundii	https://rest.pubmlst.org/db/pubmlst_cfreundii_seqdef/schemes/1
chlamydiales	https://rest.pubmlst.org/db/pubmlst_chlamydiales_seqdef/schemes/1
cmaltaromaticum	https://rest.pubmlst.org/db/pubmlst_cmaltaromaticum_seqdef/schemes/1
cperfringens	https://rest.pubmlst.org/db/pubmlst_cperfringens_seqdef/schemes/1
cronobacter	https://rest.pubmlst.org/db/pubmlst_cronobacter_seqdef/schemes/1
csepticum	https://rest.pubmlst.org/db/pubmlst_csepticum_seqdef/schemes/1
diphtheria_3	https://bigsdb.pasteur.fr/api/db/pubmlst_diphtheria_seqdef/schemes/3
dnodosus	https://rest.pubmlst.org/db/pubmlst_dnodosus_seqdef/schemes/1
ecloacae	https://rest.pubmlst.org/db/pubmlst_ecloacae_seqdef/schemes/1
ecoli	https://bigsdb.pasteur.fr/api/db/pubmlst_ecoli_seqdef/schemes/1
ecoli_achtman_4	https://rest.pubmlst.org/db/pubmlst_ecoli_achtman_seqdef/schemes/4
edwardsiella	https://rest.pubmlst.org/db/pubmlst_edwardsiella_seqdef/schemes/1
efaecalis	https://rest.pubmlst.org/db/pubmlst_efaecalis_seqdef/schemes/1
efaecium	https://rest.pubmlst.org/db/pubmlst_efaecium_seqdef/schemes/1
fpsychrophilum	https://rest.pubmlst.org/db/pubmlst_fpsychrophilum_seqdef/schemes/1
gallibacterium	https://rest.pubmlst.org/db/pubmlst_gallibacterium_seqdef/schemes/1
geotrichum	https://rest.pubmlst.org/db/pubmlst_geotrichum_seqdef/schemes/1
hcinaedi	https://rest.pubmlst.org/db/pubmlst_hcinaedi_seqdef/schemes/1
helicobacter	https://rest.pubmlst.org/db/pubmlst_helicobacter_seqdef/schemes/1
hinfluenzae	https://rest.pubmlst.org/db/pubmlst_hinfluenzae_seqdef/schemes/1
hparasuis	https://rest.pubmlst.org/db/pubmlst_hparasuis_seqdef/schemes/1
hsuis	https://rest.pubmlst.org/db/pubmlst_hsuis_seqdef/schemes/1
kaerogenes	https://rest.pubmlst.org/db/pubmlst_kaerogenes_seqdef/schemes/1
kingella	https://bigsdb.pasteur.fr/api/db/pubmlst_kingella_seqdef/schemes/1
klebsiella	https://bigsdb.pasteur.fr/api/db/pubmlst_klebsiella_seqdef/schemes/1
koxytoca	https://rest.pubmlst.org/db/pubmlst_koxytoca_seqdef/schemes/1
leptospira	https://rest.pubmlst.org/db/pubmlst_leptospira_seqdef/schemes/1
leptospira_2	https://rest.pubmlst.org/db/pubmlst_leptospira_seqdef/schemes/2
leptospira_3	https://rest.pubmlst.org/db/pubmlst_leptospira_seqdef/schemes/3
liberibacter	https://rest.pubmlst.org/db/pubmlst_liberibacter_seqdef/schemes/1
listeria_2	https://bigsdb.pasteur.fr/api/db/pubmlst_listeria_seqdef/schemes/2
llactis_phage	https://rest.pubmlst.org/db/pubmlst_llactis_phage_seqdef/schemes/1
lsalivarius	https://rest.pubmlst.org/db/pubmlst_lsalivarius_seqdef/schemes/1
mabscessus	https://rest.pubmlst.org/db/pubmlst_mabscessus_seqdef/schemes/1
magalactiae	https://rest.pubmlst.org/db/pubmlst_magalactiae_seqdef/schemes/1
manserisalpingitidis	https://rest.pubmlst.org/db/pubmlst_manserisalpingitidis_seqdef/schemes/1
mbovis_2	https://rest.pubmlst.org/db/pubmlst_mbovis_seqdef/schemes/2
mcanis	https://rest.pubmlst.org/db/pubmlst_mcanis_seqdef/schemes/1
mcaseolyticus	https://rest.pubmlst.org/db/pubmlst_mcaseolyticus_seqdef/schemes/1
mcatarrhalis_achtman_6	https://rest.pubmlst.org/db/pubmlst_mcatarrhalis_achtman_seqdef/schemes/6
mflocculare	https://rest.pubmlst.org/db/pubmlst_mflocculare_seqdef/schemes/1
mgallisepticum	https://rest.pubmlst.org/db/pubmlst_mgallisepticum_seqdef/schemes/1
mgallisepticum_2	https://rest.pubmlst.org/db/pubmlst_mgallisepticum_seqdef/schemes/2
mhaemolytica	https://rest.pubmlst.org/db/pubmlst_mhaemolytica_seqdef/schemes/1
mhominis_3	https://rest.pubmlst.org/db/pubmlst_mhominis_seqdef/schemes/3
mhyopneumoniae	https://rest.pubmlst.org/db/pubmlst_mhyopneumoniae_seqdef/schemes/1
mhyorhinis	https://rest.pubmlst.org/db/pubmlst_mhyorhinis_seqdef/schemes/1
miowae	https://rest.pubmlst.org/db/pubmlst_miowae_seqdef/schemes/1
mplutonius	https://rest.pubmlst.org/db/pubmlst_mplutonius_seqdef/schemes/1
mpneumoniae	https://rest.pubmlst.org/db/pubmlst_mpneumoniae_seqdef/schemes/1
msciuri	https://rest.pubmlst.org/db/pubmlst_msciuri_seqdef/schemes/1
msynoviae	https://rest.pubmlst.org/db/pubmlst_msynoviae_seqdef/schemes/1
mycobacteria_2	https://rest.pubmlst.org/db/pubmlst_mycobacteria_seqdef/schemes/2
neisseria	https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/1
oralstrep	https://rest.pubmlst.org/db/pubmlst_oralstrep_seqdef/schemes/1
orhinotracheale	https://rest.pubmlst.org/db/pubmlst_orhinotracheale_seqdef/schemes/1
otsutsugamushi	https://rest.pubmlst.org/db/pubmlst_otsutsugamushi_seqdef/schemes/1
pacnes_3	https://rest.pubmlst.org/db/pubmlst_pacnes_seqdef/schemes/3
paeruginosa	https://rest.pubmlst.org/db/pubmlst_paeruginosa_seqdef/schemes/1
pdamselae	https://rest.pubmlst.org/db/pubmlst_pdamselae_seqdef/schemes/1
pfluorescens	https://rest.pubmlst.org/db/pubmlst_pfluorescens_seqdef/schemes/1
pgingivalis	https://rest.pubmlst.org/db/pubmlst_pgingivalis_seqdef/schemes/1
plarvae	https://rest.pubmlst.org/db/pubmlst_plarvae_seqdef/schemes/1
pmultocida	https://rest.pubmlst.org/db/pubmlst_pmultocida_seqdef/schemes/1
pmultocida_2	https://rest.pubmlst.org/db/pubmlst_pmultocida_seqdef/schemes/2
ppentosaceus	https://rest.pubmlst.org/db/pubmlst_ppentosaceus_seqdef/schemes/1
pputida	https://rest.pubmlst.org/db/pubmlst_pputida_seqdef/schemes/1
psalmonis	https://rest.pubmlst.org/db/pubmlst_psalmonis_seqdef/schemes/1
ranatipestifer	https://rest.pubmlst.org/db/pubmlst_ranatipestifer_seqdef/schemes/1
rhodococcus	https://rest.pubmlst.org/db/pubmlst_rhodococcus_seqdef/schemes/1
sagalactiae	https://rest.pubmlst.org/db/pubmlst_sagalactiae_seqdef/schemes/1
saureus	https://rest.pubmlst.org/db/pubmlst_saureus_seqdef/schemes/1
sbsec	https://rest.pubmlst.org/db/pubmlst_sbsec_seqdef/schemes/1
scanis	https://rest.pubmlst.org/db/pubmlst_scanis_seqdef/schemes/1
schromogenes	https://rest.pubmlst.org/db/pubmlst_schromogenes_seqdef/schemes/1
sdysgalactiae	https://rest.pubmlst.org/db/pubmlst_sdysgalactiae_seqdef/schemes/1
senterica_achtman_2	https://rest.pubmlst.org/db/pubmlst_senterica_achtman_seqdef/schemes/2
sepidermidis	https://rest.pubmlst.org/db/pubmlst_sepidermidis_seqdef/schemes/1
sgallolyticus	https://rest.pubmlst.org/db/pubmlst_sgallolyticus_seqdef/schemes/1
shaemolyticus	https://rest.pubmlst.org/db/pubmlst_shaemolyticus_seqdef/schemes/1
shewanella	https://rest.pubmlst.org/db/pubmlst_shewanella_seqdef/schemes/1
shominis	https://rest.pubmlst.org/db/pubmlst_shominis_seqdef/schemes/1
sinorhizobium	https://rest.pubmlst.org/db/pubmlst_sinorhizobium_seqdef/schemes/1
smaltophilia	https://rest.pubmlst.org/db/pubmlst_smaltophilia_seqdef/schemes/1
spneumoniae	https://rest.pubmlst.org/db/pubmlst_spneumoniae_seqdef/schemes/1
spseudintermedius	https://rest.pubmlst.org/db/pubmlst_spseudintermedius_seqdef/schemes/1
spyogenes	https://rest.pubmlst.org/db/pubmlst_spyogenes_seqdef/schemes/1
ssuis	https://rest.pubmlst.org/db/pubmlst_ssuis_seqdef/schemes/1
staphlugdunensis	https://bigsdb.pasteur.fr/api/db/pubmlst_staphlugdunensis_seqdef/schemes/1
sthermophilus	https://rest.pubmlst.org/db/pubmlst_sthermophilus_seqdef/schemes/1
streptomyces	https://rest.pubmlst.org/db/pubmlst_streptomyces_seqdef/schemes/1
streptothermophilus	https://bigsdb.pasteur.fr/api/db/pubmlst_streptothermophilus_seqdef/schemes/1
suberis	https://rest.pubmlst.org/db/pubmlst_suberis_seqdef/schemes/1
szooepidemicus	https://rest.pubmlst.org/db/pubmlst_szooepidemicus_seqdef/schemes/1
taylorella	https://rest.pubmlst.org/db/pubmlst_taylorella_seqdef/schemes/1
tenacibaculum	https://rest.pubmlst.org/db/pubmlst_tenacibaculum_seqdef/schemes/1
tpallidum	https://rest.pubmlst.org/db/pubmlst_tpallidum_seqdef/schemes/1
ureaplasma	https://rest.pubmlst.org/db/pubmlst_ureaplasma_seqdef/schemes/1
vcholerae	https://rest.pubmlst.org/db/pubmlst_vcholerae_seqdef/schemes/1
vcholerae_2	https://rest.pubmlst.org/db/pubmlst_vcholerae_seqdef/schemes/2
vibrio	https://rest.pubmlst.org/db/pubmlst_vibrio_seqdef/schemes/1
vparahaemolyticus	https://rest.pubmlst.org/db/pubmlst_vparahaemolyticus_seqdef/schemes/1
vtapetis	https://rest.pubmlst.org/db/pubmlst_vtapetis_seqdef/schemes/1
vvulnificus	https://rest.pubmlst.org/db/pubmlst_vvulnificus_seqdef/schemes/1
wolbachia	https://rest.pubmlst.org/db/pubmlst_wolbachia_seqdef/schemes/1
xfastidiosa	https://rest.pubmlst.org/db/pubmlst_xfastidiosa_seqdef/schemes/1
ypseudotuberculosis_achtman_3	https://rest.pubmlst.org/db/pubmlst_ypseudotuberculosis_achtman_seqdef/schemes/3
yruckeri	https://rest.pubmlst.org/db/pubmlst_yruckeri_seqdef/schemes/1
