#age met alpha Hbeta Mg2 Mgb Fe5270 Fe5335 Fem MgFe
0.08 -0.4 0 5.85 0.048 0.474 0.854 0.8 0.827 0.631
0.1 -0.4 0 5.817 0.047 0.482 0.823 0.764 0.794 0.623
0.13 -0.4 0 5.795 0.046 0.455 0.786 0.73 0.758 0.592
0.16 -0.4 0 5.916 0.041 0.428 0.806 0.738 0.772 0.58
0.2 -0.4 0 6.03 0.039 0.452 0.797 0.729 0.763 0.593
0.25 -0.4 0 6.273 0.04 0.53 0.769 0.706 0.737 0.631
0.32 -0.4 0 6.59 0.04 0.593 0.747 0.683 0.715 0.658
0.4 -0.4 0 6.772 0.045 0.653 0.817 0.677 0.747 0.713
0.5 -0.4 0 6.716 0.049 0.747 0.873 0.699 0.786 0.785
0.63 -0.4 0 6.476 0.054 0.87 0.994 0.761 0.877 0.899
0.79 -0.4 0 6.082 0.059 0.953 1.141 0.832 0.986 1.002
1 -0.4 0 5.369 0.064 1.045 1.281 0.916 1.098 1.11
1.26 -0.4 0 4.685 0.072 1.148 1.434 1.029 1.231 1.231
1.58 -0.4 0 4.124 0.09 1.404 1.695 1.313 1.504 1.493
2 -0.4 0 3.561 0.105 1.614 1.823 1.493 1.658 1.671
2.51 -0.4 0 3.147 0.115 1.873 1.899 1.638 1.768 1.849
3.16 -0.4 0 2.687 0.13 2.15 2.084 1.8 1.942 2.076
3.98 -0.4 0 2.534 0.137 2.268 2.147 1.858 2.002 2.165
5.01 -0.4 0 2.402 0.144 2.385 2.196 1.902 2.049 2.246
6.31 -0.4 0 2.243 0.152 2.548 2.267 1.962 2.115 2.358
7.94 -0.4 0 2.08 0.163 2.729 2.355 2.039 2.197 2.487
10 -0.4 0 1.923 0.173 2.904 2.448 2.117 2.283 2.615
12.59 -0.4 0 1.779 0.185 3.088 2.551 2.206 2.379 2.753
15.85 -0.4 0 1.649 0.194 3.192 2.642 2.283 2.463 2.848
0.05 -0 0 5.806 0.058 0.501 0.844 0.845 0.844 0.65
0.06 -0 0 5.711 0.051 0.381 0.872 0.84 0.856 0.573
0.08 -0 0 5.719 0.052 0.375 0.928 0.895 0.912 0.587
0.1 -0 0 5.965 0.049 0.424 0.912 0.876 0.894 0.619
0.13 -0 0 6.342 0.046 0.522 0.894 0.854 0.874 0.679
0.16 -0 0 6.694 0.047 0.573 0.817 0.799 0.808 0.682
0.2 -0 0 7.065 0.046 0.586 0.767 0.749 0.758 0.668
0.25 -0 0 7.364 0.047 0.621 0.782 0.737 0.759 0.691
0.32 -0 0 7.44 0.049 0.73 0.827 0.753 0.79 0.767
0.4 -0 0 7.4 0.052 0.871 0.888 0.803 0.845 0.868
0.5 -0 0 7.137 0.057 1 1.07 0.908 0.989 1.012
0.63 -0 0 6.579 0.063 1.13 1.276 1.054 1.165 1.171
0.79 -0 0 5.954 0.07 1.234 1.502 1.219 1.36 1.325
1 -0 0 5.205 0.075 1.368 1.659 1.361 1.51 1.468
1.26 -0 0 4.403 0.089 1.582 1.835 1.535 1.685 1.664
1.58 -0 0 3.564 0.118 1.936 2.195 1.885 2.04 2.02
2 -0 0 3.346 0.131 2.034 2.277 1.993 2.135 2.114
2.51 -0 0 3.004 0.145 2.28 2.423 2.129 2.276 2.31
3.16 -0 0 2.588 0.167 2.649 2.664 2.342 2.503 2.611
3.98 -0 0 2.457 0.177 2.844 2.738 2.404 2.571 2.742
5.01 -0 0 2.301 0.188 3.033 2.831 2.486 2.659 2.88
6.31 -0 0 2.183 0.197 3.21 2.897 2.542 2.719 2.997
7.94 -0 0 2.01 0.212 3.44 3.022 2.655 2.838 3.169
10 -0 0 1.849 0.227 3.67 3.142 2.763 2.952 3.338
12.59 -0 0 1.694 0.243 3.886 3.276 2.884 3.08 3.507
15.85 -0 0 1.553 0.259 4.065 3.4 2.998 3.199 3.656
0.05 0.1 0 5.632 0.056 0.415 0.945 0.914 0.929 0.623
0.06 0.1 0 5.61 0.054 0.383 0.966 0.94 0.953 0.606
0.08 0.1 0 5.795 0.055 0.444 0.958 0.938 0.948 0.651
0.1 0.1 0 6.194 0.052 0.522 0.941 0.926 0.934 0.699
0.13 0.1 0 6.582 0.049 0.56 0.872 0.864 0.868 0.698
0.16 0.1 0 6.931 0.049 0.58 0.8 0.804 0.802 0.682
0.2 0.1 0 7.292 0.047 0.6 0.77 0.765 0.767 0.679
0.25 0.1 0 7.552 0.051 0.644 0.821 0.759 0.79 0.719
0.32 0.1 0 7.534 0.051 0.773 0.863 0.795 0.829 0.808
0.4 0.1 0 7.471 0.054 0.913 0.944 0.858 0.901 0.917
0.5 0.1 0 7.126 0.06 1.043 1.155 0.996 1.075 1.076
0.63 0.1 0 6.492 0.067 1.155 1.401 1.17 1.286 1.242
0.79 0.1 0 5.799 0.074 1.259 1.63 1.362 1.496 1.399
1 0.1 0 5.022 0.083 1.406 1.817 1.529 1.673 1.563
1.26 0.1 0 4.26 0.096 1.619 1.999 1.686 1.842 1.759
1.58 0.1 0 3.515 0.125 1.981 2.346 2.027 2.186 2.114
2 0.1 0 3.291 0.138 2.117 2.432 2.135 2.283 2.23
2.51 0.1 0 2.97 0.154 2.387 2.577 2.27 2.423 2.438
3.16 0.1 0 2.522 0.182 2.828 2.875 2.54 2.707 2.805
3.98 0.1 0 2.456 0.187 2.966 2.903 2.558 2.731 2.885
5.01 0.1 0 2.256 0.202 3.205 3.04 2.681 2.86 3.069
6.31 0.1 0 2.167 0.21 3.366 3.083 2.716 2.9 3.167
7.94 0.1 0 1.994 0.225 3.603 3.217 2.838 3.027 3.348
10 0.1 0 1.831 0.242 3.846 3.345 2.953 3.149 3.527
12.59 0.1 0 1.676 0.26 4.075 3.476 3.076 3.276 3.703
15.85 0.1 0 1.533 0.277 4.236 3.617 3.206 3.412 3.851
0.05 0.2 0 5.513 0.064 0.49 1.06 1.055 1.058 0.72
0.06 0.2 0 5.728 0.059 0.486 0.989 0.99 0.99 0.693
0.08 0.2 0 6.057 0.059 0.552 0.954 0.967 0.96 0.727
0.1 0.2 0 6.479 0.053 0.562 0.888 0.902 0.895 0.708
0.13 0.2 0 6.793 0.051 0.572 0.833 0.857 0.845 0.693
0.16 0.2 0 7.148 0.051 0.58 0.792 0.807 0.799 0.679
0.2 0.2 0 7.506 0.049 0.604 0.782 0.783 0.783 0.687
0.25 0.2 0 7.665 0.053 0.674 0.849 0.795 0.822 0.75
0.32 0.2 0 7.683 0.053 0.793 0.887 0.826 0.857 0.83
0.4 0.2 0 7.488 0.058 0.955 1.033 0.938 0.986 0.981
0.5 0.2 0 7.001 0.063 1.066 1.275 1.102 1.189 1.143
0.63 0.2 0 6.42 0.071 1.141 1.546 1.3 1.423 1.298
0.79 0.2 0 5.67 0.079 1.288 1.788 1.506 1.647 1.484
1 0.2 0 4.832 0.091 1.439 1.995 1.689 1.842 1.657
1.26 0.2 0 4.153 0.103 1.646 2.166 1.839 2.002 1.847
1.58 0.2 0 3.511 0.13 2.001 2.478 2.15 2.314 2.185
2 0.2 0 3.256 0.146 2.186 2.594 2.285 2.44 2.341
2.51 0.2 0 2.958 0.162 2.472 2.739 2.418 2.579 2.559
3.16 0.2 0 2.616 0.183 2.834 2.96 2.617 2.788 2.849
3.98 0.2 0 2.356 0.204 3.17 3.152 2.789 2.971 3.11
5.01 0.2 0 2.213 0.218 3.378 3.254 2.883 3.069 3.262
6.31 0.2 0 2.133 0.225 3.525 3.306 2.927 3.117 3.359
7.94 0.2 0 1.981 0.24 3.76 3.417 3.025 3.221 3.526
10 0.2 0 1.819 0.258 4.006 3.551 3.149 3.35 3.711
12.59 0.2 0 1.666 0.277 4.238 3.686 3.275 3.481 3.89
15.85 0.2 0 1.522 0.295 4.412 3.827 3.41 3.618 4.046
