#age [Z/H] [alpha/Fe] Hb Mg2 Mgb Fe5270 Fe5335 Fe MgFe
9 0.06 0.4 1.931 0.202 4.406 2.453 2.121 2.287 3.225
9.5 0.06 0.4 1.904 0.205 4.455 2.472 2.136 2.304 3.254
10 0.06 0.4 1.881 0.207 4.49 2.491 2.152 2.321 3.28
10.5 0.06 0.4 1.855 0.21 4.537 2.508 2.163 2.336 3.308
11 0.06 0.4 1.83 0.212 4.579 2.526 2.177 2.351 3.335
11.5 0.06 0.4 1.808 0.214 4.611 2.541 2.188 2.365 3.356
12 0.06 0.4 1.79 0.217 4.647 2.557 2.201 2.379 3.379
12.5 0.06 0.4 1.771 0.219 4.685 2.574 2.216 2.395 3.404
13 0.06 0.4 1.751 0.221 4.708 2.582 2.223 2.403 3.418
13.5 0.06 0.4 1.732 0.222 4.726 2.596 2.233 2.414 3.433
14 0.06 0.4 1.717 0.224 4.747 2.609 2.244 2.426 3.449
0.6 0.26 0.4 5.407 0.07 1.736 1.482 1.306 1.394 1.577
0.7 0.26 0.4 4.735 0.078 1.984 1.643 1.446 1.545 1.775
0.8 0.26 0.4 4.239 0.091 2.24 1.756 1.551 1.653 1.95
0.9 0.26 0.4 3.831 0.104 2.49 1.848 1.644 1.746 2.112
1 0.26 0.4 3.553 0.117 2.705 1.924 1.718 1.821 2.247
1.25 0.26 0.4 3.155 0.138 3.074 1.994 1.798 1.896 2.442
1.5 0.26 0.4 2.969 0.142 3.223 2.028 1.825 1.926 2.521
1.75 0.26 0.4 2.805 0.152 3.435 2.095 1.879 1.987 2.644
2 0.26 0.4 2.675 0.161 3.603 2.171 1.937 2.054 2.754
2.25 0.26 0.4 2.547 0.17 3.782 2.231 1.993 2.112 2.861
2.5 0.26 0.4 2.494 0.176 3.879 2.269 2.02 2.144 2.921
2.75 0.26 0.4 2.467 0.177 3.917 2.277 2.02 2.148 2.939
3 0.26 0.4 2.414 0.182 4.02 2.32 2.052 2.186 3.004
3.25 0.26 0.4 2.357 0.186 4.089 2.344 2.075 2.21 3.046
3.5 0.26 0.4 2.3 0.191 4.177 2.379 2.103 2.241 3.101
3.75 0.26 0.4 2.268 0.194 4.233 2.4 2.118 2.259 3.135
4 0.26 0.4 2.239 0.196 4.28 2.407 2.124 2.266 3.156
4.5 0.26 0.4 2.201 0.199 4.354 2.444 2.149 2.296 3.207
5 0.26 0.4 2.147 0.205 4.447 2.484 2.177 2.331 3.266
5.5 0.26 0.4 2.098 0.211 4.54 2.525 2.209 2.367 3.326
6 0.26 0.4 2.058 0.214 4.596 2.547 2.223 2.385 3.36
6.5 0.26 0.4 2.023 0.217 4.645 2.561 2.235 2.398 3.387
7 0.26 0.4 1.987 0.221 4.713 2.591 2.258 2.424 3.431
7.5 0.26 0.4 1.95 0.224 4.771 2.613 2.273 2.443 3.466
8 0.26 0.4 1.922 0.228 4.833 2.64 2.296 2.468 3.506
8.5 0.26 0.4 1.907 0.231 4.871 2.656 2.311 2.484 3.531
9 0.26 0.4 1.874 0.234 4.922 2.675 2.324 2.499 3.561
9.5 0.26 0.4 1.847 0.236 4.968 2.692 2.337 2.514 3.589
10 0.26 0.4 1.817 0.24 5.016 2.713 2.351 2.532 3.619
10.5 0.26 0.4 1.797 0.242 5.043 2.723 2.359 2.541 3.636
11 0.26 0.4 1.78 0.244 5.075 2.739 2.372 2.555 3.658
11.5 0.26 0.4 1.767 0.247 5.098 2.755 2.384 2.57 3.676
12 0.26 0.4 1.744 0.25 5.135 2.769 2.401 2.585 3.7
12.5 0.26 0.4 1.724 0.252 5.165 2.778 2.407 2.593 3.716
13 0.26 0.4 1.707 0.254 5.192 2.788 2.417 2.603 3.733
13.5 0.26 0.4 1.687 0.256 5.216 2.796 2.424 2.61 3.747
14 0.26 0.4 1.666 0.257 5.247 2.806 2.429 2.618 3.764
0.6 0.4 0.4 5.114 0.084 1.955 1.668 1.478 1.573 1.777
0.7 0.4 0.4 4.578 0.095 2.199 1.78 1.584 1.682 1.948
0.8 0.4 0.4 4.081 0.11 2.56 1.916 1.69 1.803 2.178
0.9 0.4 0.4 3.727 0.124 2.889 2.024 1.778 1.901 2.377
1 0.4 0.4 3.466 0.137 3.142 2.088 1.847 1.968 2.52
1.25 0.4 0.4 3.138 0.155 3.47 2.126 1.873 1.999 2.67
1.5 0.4 0.4 2.946 0.16 3.613 2.146 1.883 2.015 2.736
1.75 0.4 0.4 2.771 0.173 3.87 2.195 1.927 2.061 2.864
2 0.4 0.4 2.638 0.183 4.064 2.259 1.973 2.116 2.976
2.25 0.4 0.4 2.57 0.194 4.245 2.326 2.037 2.181 3.087
2.5 0.4 0.4 2.494 0.199 4.347 2.367 2.057 2.212 3.148
2.75 0.4 0.4 2.442 0.198 4.376 2.352 2.038 2.195 3.148
3 0.4 0.4 2.412 0.205 4.483 2.392 2.08 2.236 3.214
3.25 0.4 0.4 2.333 0.208 4.55 2.41 2.088 2.249 3.249
3.5 0.4 0.4 2.259 0.211 4.631 2.437 2.103 2.27 3.294
3.75 0.4 0.4 2.247 0.215 4.689 2.46 2.131 2.296 3.332
4 0.4 0.4 2.193 0.216 4.716 2.474 2.139 2.306 3.35
4.5 0.4 0.4 2.118 0.22 4.814 2.513 2.157 2.335 3.409
5 0.4 0.4 2.067 0.226 4.902 2.544 2.185 2.364 3.461
5.5 0.4 0.4 1.987 0.236 5.065 2.614 2.24 2.427 3.565
6 0.4 0.4 1.962 0.237 5.08 2.615 2.242 2.429 3.571
6.5 0.4 0.4 1.953 0.238 5.11 2.614 2.233 2.423 3.579
7 0.4 0.4 1.899 0.243 5.186 2.647 2.264 2.455 3.629
7.5 0.4 0.4 1.914 0.249 5.272 2.681 2.294 2.487 3.683
8 0.4 0.4 1.884 0.255 5.356 2.709 2.324 2.517 3.733
8.5 0.4 0.4 1.83 0.261 5.448 2.741 2.352 2.547 3.787
9 0.4 0.4 1.791 0.264 5.5 2.763 2.371 2.567 3.82
9.5 0.4 0.4 1.756 0.265 5.518 2.772 2.38 2.576 3.833
10 0.4 0.4 1.75 0.269 5.566 2.792 2.395 2.594 3.863
10.5 0.4 0.4 1.719 0.272 5.612 2.809 2.409 2.609 3.891
11 0.4 0.4 1.706 0.275 5.646 2.825 2.418 2.622 3.912
11.5 0.4 0.4 1.683 0.278 5.688 2.841 2.432 2.636 3.938
12 0.4 0.4 1.664 0.281 5.729 2.855 2.442 2.648 3.961
12.5 0.4 0.4 1.644 0.284 5.777 2.868 2.453 2.66 3.987
13 0.4 0.4 1.623 0.287 5.809 2.877 2.463 2.67 4.005
13.5 0.4 0.4 1.605 0.289 5.826 2.882 2.47 2.676 4.015
14 0.4 0.4 1.596 0.29 5.842 2.891 2.476 2.684 4.026
