well_id,dh_no,unit_long,unit_hyphen,obs_no,dh_name,easting,northing,zone,latitude,longitude,aquifer
MOR161,74932,672802038,6728-2038,MOR161,,316818.72,6178970.46,54,-34.5146485,139.0044282,Tomr(Lower)
6729-1619,74933,672901619,6729-1619,,,317805.49,6180733.75,54,-34.4989315,139.0155492,Tomr(Lower)
BLV002,76080,672900369,6729-369,BLV002,MESA OBS,320180.63,6188855.55,54,-34.4261475,139.0431152,Tomr(Lower)
BLV005,76082,672900371,6729-371,BLV005,MESA OBS,317232.71,6187394.47,54,-34.4387985,139.0107392,Tomr(Lower)
MOR100,76232,672900521,6729-521,MOR100,MESA OBS,320505.68,6186289.54,54,-34.4493315,139.0461122,Tomr(Lower)
MOR104,76282,672900571,6729-571,MOR104,MESA OBS,317619.53,6184891.75,54,-34.4614235,139.0144132,Tomr(Lower)
MOR099,76303,672900592,6729-592,MOR099,MESA PENRICE QUARRY,319839.48,6184084.81,54,-34.4690865,139.0383992,Tomr(Lower)
6729-602,76313,672900602,6729-602,,,319750.47,6183850.75,54,-34.4711805,139.0373812,Tomr(Lower)
MOR183,76385,672900674,6729-674,MOR183,,319321.48,6183088.28,54,-34.4779775,139.0325512,Tomr(Lower)
MOR085,76400,672900689,6729-689,MOR085,MESA OBS,318319.43,6183232.84,54,-34.4764985,139.0216762,Tomr(Lower)
MOR094,76407,672900696,6729-696,MOR094,MESA OBS,317535.69,6182992.47,54,-34.4785265,139.0130952,Tomr(Lower)
MOR019,76455,672900744,6729-744,MOR019,,317024.68,6182393.47,54,-34.4838345,139.0074052,Tomr(Lower)
MOR089,76464,672900753,6729-753,MOR089,,316687.52,6181749.84,54,-34.4895755,139.0035972,Tomr(Lower)
MOR016,76468,672900757,6729-757,MOR016,,317469.69,6181544.56,54,-34.4915645,139.0120672,Tomr(Lower)
MOR172,76477,672900766,6729-766,MOR172,,317823.68,6181562.49,54,-34.4914655,139.0159242,Tomr(Lower)
MOR177,76486,672900775,6729-775,MOR177,,316911.71,6181063.46,54,-34.4958015,139.0058902,Tomr(Lower)
MOR075,76490,672900779,6729-779,MOR075,TCWQ 115,317443.54,6181103.78,54,-34.4955325,139.0116882,Tomr(Lower)
MOR097,76491,672900780,6729-780,MOR097,MESA OBS,317427.68,6181111.56,54,-34.4954595,139.0115172,Tomr(Lower)
MOR092,76492,672900781,6729-781,MOR092,,317396.51,6181098.86,54,-34.4955685,139.0111752,Tomr(Lower)
MOR093,76493,672900782,6729-782,MOR093,,317383.67,6181107.48,54,-34.4954885,139.0110372,Tomr(Lower)
MOR096,76495,672900784,6729-784,MOR096,MESA OBS,317323.72,6181100.53,54,-34.4955405,139.0103832,Tomr(Lower)
MOR098,76496,672900785,6729-785,MOR098,,317305.51,6181082.86,54,-34.4956965,139.0101812,Tomr(Lower)
MOR171,76699,672900988,6729-988,MOR171,,316654.72,6182396.5,54,-34.4837415,139.0033792,Tomr(Lower)
MOR200,77111,672901400,6729-1400,MOR200,MESA OBS,319083.64,6184308.56,54,-34.4669375,139.0302212,Tomr(Lower)
MOR208,77140,672901429,6729-1429,MOR208,MESA OBS,318753.65,6184732.52,54,-34.4630585,139.0267202,Tomr(Lower)
MOR205,77141,672901430,6729-1430,MOR205,MESA OBS,318281.65,6183238.53,54,-34.4764405,139.0212662,Tomr(Lower)
MOR209,77142,672901431,6729-1431,MOR209,,318857.71,6184669.53,54,-34.4636445,139.0278392,Tomr(Lower)
MOR207,77143,672901432,6729-1432,MOR207,,319808.66,6184072.56,54,-34.4691915,139.0380612,Tomr(Lower)
MOR211,77160,672901449,6729-1449,MOR211,MESA,317590.65,6184841.47,54,-34.4618715,139.0140882,Tomr(Lower)
BRS020,184011,662820432,6628-20432,BRS020,,310884.67,6171650.55,54,-34.5795445,138.9381922,Tomr(Lower)
MOR277,194563,672803462,6728-3462,MOR277,,318113.71,6180230.52,54,-34.5035215,139.0187972,Tomr(Lower)
