Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Greenland;GRL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,90;0,86;0,91;0,84;0,84;0,95;0,91;0,79;0,78;0,74;0,64;0,63;0,67;0,84;0,90;0,84;0,84;0,90;0,92;0,92;0,88;0,93;0,88;0,90;0,89;0,80;0,82;0,85;0,88;0,83;0,84;0,84;0,73;0,74;
Guatemala;GTM;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,22;0,26;0,27;0,27;0,29;0,31;0,31;0,34;0,34;0,31;0,31;0,32;0,34;0,34;0,35;0,37;0,38;0,39;0,43;0,41;0,43;0,47;0,45;0,45;0,45;0,44;0,44;0,45;0,44;0,42;0,41;0,42;0,41;0,42;0,43
Guyana;GUY;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,44;0,35;0,34;0,37;0,40;0,43;0,44;0,44;0,42;0,39;0,40;0,38;0,38;0,38;0,39;0,40;0,41;0,44;0,48;0,48;0,49;0,49;0,51;0,50;0,49;0,49;0,51;0,50;0,49;0,48;0,40;0,43;0,45;0,37;0,37
Hong Kong SAR, China;HKG;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,74;0,78;0,84;0,90;0,93;0,95;0,99;1,03;1,03;0,97;0,91;0,88;0,83;0,77;0,72;0,70;0,68;0,68;0,67;0,67;0,66;0,67;0,70;0,72;0,74;0,76;0,77;0,78;0,80;0,79;0,79;0,76;0,71;0,71;0,72
Honduras;HND;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,48;0,45;0,44;0,41;0,37;0,40;0,37;0,38;0,41;0,41;0,42;0,43;0,42;0,41;0,40;0,41;0,41;0,43;0,46;0,49;0,50;0,53;0,53;0,50;0,49;0,47;0,44;0,43;0,44;0,43;0,43;0,44;0,44;0,45;0,46
Croatia;HRV;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,56;0,51;0,32;0,36;0,44;0,61;0,60;0,56;0,58;0,53;0,46;0,46;0,49;0,60;0,66;0,68;0,65;0,70;0,76;0,71;0,68;0,69;0,62;0,63;0,62;0,52;0,50;0,50;0,52;0,47;0,47;0,48;0,44;0,48;0,49
Haiti;HTI;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,35;0,38;0,25;0,22;0,28;0,32;0,31;0,35;0,37;0,40;0,37;0,34;0,32;0,25;0,29;0,32;0,33;0,37;0,40;0,42;0,45;0,46;0,48;0,48;0,47;0,47;0,41;0,42;0,47;0,42;0,42;0,59;0,54;0,52;0,67
Hungary;HUN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,36;0,40;0,45;0,46;0,47;0,49;0,48;0,47;0,46;0,44;0,39;0,40;0,46;0,54;0,63;0,66;0,62;0,73;0,76;0,63;0,61;0,62;0,56;0,56;0,56;0,47;0,47;0,50;0,51;0,48;0,46;0,49;0,42;0,49;0,49
Indonesia;IDN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,19;0,19;0,19;0,22;0,22;0,23;0,23;0,21;0,10;0,15;0,16;0,15;0,17;0,19;0,20;0,20;0,24;0,26;0,28;0,28;0,37;0,40;0,38;0,36;0,34;0,33;0,34;0,36;0,34;0,34;0,33;0,34;0,33;0,32;0,30
India;IND;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,31;0,25;0,24;0,22;0,24;0,24;0,24;0,24;0,22;0,22;0,21;0,20;0,21;0,22;0,23;0,24;0,25;0,29;0,27;0,28;0,32;0,32;0,30;0,29;0,30;0,29;0,29;0,32;0,29;0,29;0,27;0,28;0,25;0,25;0,24
Ireland;IRL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,02;0,98;1,04;0,93;0,94;1,01;1,02;1,00;0,97;0,97;0,87;0,87;0,93;1,14;1,23;1,26;1,23;1,31;1,39;1,26;1,13;1,16;1,06;1,08;1,09;0,90;0,88;0,90;0,94;0,89;0,89;0,89;0,77;0,83;0,82
Iran, Islamic Rep.;IRN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,32;0,29;0,25;0,13;0,15;0,19;0,22;0,20;0,19;0,19;0,17;0,18;0,17;0,18;0,21;0,23;0,26;0,30;0,34;0,35;0,38;0,43;0,50;0,40;0,37;0,36;0,38;0,38;0,31;0,29;0,21;0,29;0,27;0,25;0,26
Iraq;IRQ;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;0,01;0,01;0,01;0,04;0,13;0,10;0,16;0,11;0,17;0,19;0,13;0,13;0,13;0,14;0,19;0,22;0,29;0,39;0,32;0,37;0,45;0,45;0,45;0,47;0,48;0,48;0,47;0,47;0,46;0,41;0,38;0,45;0,41;0,42
Iceland;ISL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,16;1,20;1,24;1,05;1,02;1,11;1,11;1,04;1,08;1,10;1,08;0,91;0,99;1,21;1,33;1,52;1,45;1,68;1,30;0,99;1,09;1,17;1,10;1,12;1,19;1,08;1,16;1,29;1,30;1,13;1,06;1,12;1,02;1,04;1,06
Israel;ISR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,85;0,87;0,88;0,83;0,86;0,92;0,93;0,92;0,88;0,85;0,84;0,81;0,73;0,80;0,79;0,83;0,85;0,91;1,08;1,01;1,07;1,10;1,03;1,06;1,10;1,01;0,99;1,04;1,05;1,07;1,09;1,13;1,03;0,97;0,97
Italy;ITA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,12;1,12;1,15;0,92;0,91;0,92;1,00;0,91;0,89;0,86;0,74;0,73;0,78;0,94;1,06;1,06;1,03;1,11;1,15;1,08;1,03;1,06;0,96;0,98;0,98;0,82;0,78;0,78;0,80;0,72;0,72;0,74;0,63;0,67;0,66
Jamaica;JAM;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,38;0,34;0,28;0,38;0,37;0,43;0,47;0,53;0,55;0,54;0,53;0,53;0,54;0,49;0,51;0,54;0,54;0,56;0,59;0,54;0,60;0,63;0,64;0,59;0,57;0,56;0,53;0,54;0,56;0,56;0,54;0,54;0,56;0,60;0,60
Jordan;JOR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,27;0,26;0,28;0,27;0,28;0,28;0,28;0,28;0,29;0,29;0,28;0,27;0,27;0,27;0,27;0,27;0,29;0,30;0,36;0,37;0,39;0,41;0,43;0,44;0,46;0,45;0,46;0,44;0,46;0,44;0,42;0,46;0,44;0,43;0,43
Japan;JPN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,30;1,39;1,47;1,64;1,75;1,85;1,57;1,39;1,27;1,42;1,44;1,23;1,15;1,20;1,24;1,18;1,07;1,02;1,13;1,23;1,27;1,35;1,31;1,04;0,97;0,85;0,97;0,94;0,94;0,95;0,94;0,90;0,72;0,68;0,63
Kazakhstan;KAZ;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,20;0,20;0,21;0,21;0,21;0,22;0,22;0,22;0,23;0,16;0,16;0,17;0,17;0,19;0,23;0,27;0,34;0,39;0,47;0,40;0,47;0,56;0,56;0,57;0,52;0,45;0,32;0,37;0,38;0,33;0,30;0,30;0,31;0,33;0,34
Kenya;KEN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,37;0,33;0,33;0,23;0,27;0,32;0,31;0,33;0,34;0,30;0,29;0,27;0,27;0,29;0,29;0,31;0,34;0,39;0,43;0,42;0,41;0,40;0,45;0,44;0,44;0,40;0,40;0,40;0,42;0,42;0,40;0,39;0,36;0,31;0,33
Kyrgyz Republic;KGZ;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,24;0,24;0,25;0,25;0,25;0,26;0,26;0,23;0,20;0,15;0,15;0,16;0,16;0,18;0,18;0,20;0,22;0,26;0,32;0,28;0,29;0,34;0,33;0,32;0,30;0,27;0,24;0,25;0,27;0,27;0,24;0,24;0,26;0,29;0,30
Cambodia;KHM;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,14;0,18;0,20;0,19;0,31;0,35;0,33;0,30;0,26;0,26;0,24;0,24;0,24;0,24;0,25;0,26;0,27;0,29;0,31;0,31;0,32;0,34;0,33;0,34;0,35;0,35;0,35;0,36;0,36;0,36;0,35;0,35;0,34;0,33;0,33
Kiribati;KIR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,41;0,47;0,56;0,52;0,57;0,56;0,65;0,62;0,55;0,58;0,52;0,45;0,50;0,65;0,69;0,72;0,65;0,75;0,81;0,77;0,88;0,99;0,97;0,86;0,83;0,71;0,71;0,72;0,72;0,63;0,65;0,74;0,62;0,62;0,62
St. Kitts and Nevis;KNA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,55;0,55;0,57;0,56;0,59;0,58;0,57;0,59;0,60;0,61;0,61;0,62;0,63;0,63;0,63;0,60;0,67;0,69;0,69;0,71;0,70;0,73;0,75;0,75;0,76;0,76;0,76;0,76;0,74;0,73;0,69;0,68;0,66;0,66;0,64
Korea, Rep.;KOR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,79;0,81;0,80;0,81;0,85;0,93;0,91;0,79;0,55;0,63;0,66;0,59;0,62;0,66;0,69;0,77;0,81;0,83;0,71;0,65;0,73;0,77;0,76;0,79;0,83;0,76;0,74;0,77;0,78;0,73;0,70;0,73;0,63;0,63;0,62
Kuwait;KWT;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,36;0,35;0,34;0,30;0,28;0,28;0,32;0,30;0,24;0,28;0,33;0,30;0,31;0,33;0,36;0,43;0,48;0,50;0,62;0,47;0,52;0,62;0,64;0,65;0,65;0,66;0,65;0,62;0,62;0,63;0,61;0,67;0,73;0,64;0,62
Lao PDR;LAO;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,20;0,22;0,22;0,24;0,25;0,27;0,26;0,22;0,15;0,16;0,18;0,17;0,16;0,17;0,18;0,18;0,21;0,23;0,27;0,27;0,30;0,33;0,33;0,35;0,34;0,35;0,34;0,34;0,34;0,33;0,33;0,31;0,23;0,22;0,22
Lebanon;LBN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,26;0,28;0,30;0,35;0,39;0,44;0,45;0,50;0,52;0,52;0,50;0,48;0,50;0,50;0,48;0,46;0,45;0,45;0,48;0,52;0,52;0,52;0,52;0,50;0,47;0,45;0,43;0,41;0,42;0,41;0,34;0,35;0,30;0,28;
Liberia;LBR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,22;0,22;0,22;0,23;0,23;0,24;0,25;0,22;0,21;0,21;0,31;0,30;0,30;0,33;0,38;0,37;0,39;0,43;0,49;0,48;0,50;0,55;0,55;0,52;0,50;0,52;0,48;0,42;0,38;0,35;0,37;0,43;0,44;0,45;0,45
Libya;LBY;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,38;0,35;0,37;0,34;0,31;0,27;0,29;0,30;0,27;0,35;0,35;0,31;0,19;0,21;0,24;0,30;0,35;0,36;0,45;0,33;0,38;0,48;0,56;0,57;0,51;0,42;0,44;0,55;0,59;0,62;0,61;0,39;0,49;0,45;0,45
St. Lucia;LCA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,59;0,61;0,60;0,59;0,60;0,61;0,60;0,61;0,62;0,62;0,63;0,61;0,60;0,62;0,61;0,63;0,65;0,65;0,66;0,65;0,68;0,68;0,69;0,68;0,70;0,72;0,69;0,70;0,67;0,63;0,56;0,55;0,53;0,52;0,51
Sri Lanka;LKA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,25;0,26;0,26;0,25;0,27;0,27;0,28;0,28;0,27;0,26;0,25;0,22;0,22;0,23;0,23;0,25;0,26;0,27;0,32;0,32;0,34;0,36;0,32;0,33;0,34;0,33;0,32;0,32;0,31;0,29;0,30;0,28;0,24;0,26;0,29
Lesotho;LSO;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,43;0,46;0,50;0,47;0,46;0,50;0,43;0,43;0,39;0,38;0,35;0,31;0,28;0,39;0,49;0,51;0,51;0,45;0,44;0,43;0,52;0,56;0,53;0,45;0,42;0,37;0,34;0,41;0,44;0,42;0,36;0,42;0,37;0,32;0,32
Lithuania;LTU;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;;;0,37;0,36;0,40;0,41;0,40;0,39;0,37;0,40;0,46;0,51;0,54;0,56;0,64;0,72;0,65;0,60;0,63;0,58;0,59;0,59;0,49;0,49;0,50;0,53;0,48;0,50;0,52;0,50;0,55;0,54
Luxembourg;LUX;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,12;1,08;1,16;1,12;1,17;1,33;1,27;1,10;1,07;1,02;0,88;0,86;0,90;1,09;1,18;1,18;1,15;1,26;1,32;1,26;1,23;1,26;1,17;1,19;1,17;0,98;0,94;0,96;1,00;0,93;0,96;0,99;0,86;0,92;0,91
Latvia;LVA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;;;0,42;0,42;0,41;0,42;0,43;0,42;0,40;0,41;0,47;0,52;0,55;0,61;0,77;0,84;0,72;0,65;0,69;0,65;0,66;0,66;0,55;0,54;0,55;0,58;0,54;0,54;0,55;0,51;0,54;0,53
Macao SAR, China;MAC;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,35;0,38;0,42;0,45;0,47;0,50;0,50;0,50;0,49;0,47;0,45;0,44;0,42;0,42;0,41;0,42;0,44;0,47;0,51;0,51;0,53;0,55;0,57;0,58;0,61;0,64;0,64;0,64;0,65;0,65;0,65;0,61;0,57;0,58;0,57
Morocco;MAR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,49;0,48;0,50;0,46;0,46;0,52;0,50;0,45;0,45;0,43;0,38;0,35;0,36;0,41;0,43;0,43;0,42;0,45;0,49;0,47;0,45;0,45;0,43;0,45;0,47;0,40;0,40;0,41;0,45;0,44;0,42;0,44;0,37;0,38;0,39
Moldova;MDA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,21;0,21;0,21;0,22;0,22;0,22;0,23;0,25;0,23;0,16;0,17;0,18;0,19;0,20;0,24;0,25;0,27;0,33;0,41;0,39;0,38;0,43;0,41;0,40;0,38;0,30;0,28;0,31;0,35;0,33;0,32;0,34;0,35;0,38;0,41
Madagascar;MDG;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,28;0,24;0,26;0,28;0,23;0,25;0,30;0,25;0,24;0,22;0,23;0,25;0,27;0,29;0,21;0,23;0,23;0,28;0,32;0,30;0,31;0,34;0,34;0,35;0,34;0,30;0,29;0,32;0,32;0,31;0,30;0,31;0,29;0,28;0,29
Maldives;MDV;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,21;0,23;0,24;0,26;0,26;0,25;0,26;0,26;0,26;0,26;0,26;0,37;0,35;0,34;0,37;0,39;0,41;0,45;0,49;0,55;0,56;0,54;0,53;0,54;0,53;0,54;0,53;0,53;0,52;0,51;0,55;0,53;0,52;0,51;0,50
Mexico;MEX;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,48;0,53;0,58;0,67;0,66;0,47;0,49;0,55;0,54;0,59;0,64;0,68;0,68;0,62;0,62;0,65;0,65;0,67;0,67;0,55;0,61;0,62;0,60;0,62;0,61;0,53;0,45;0,47;0,48;0,49;0,46;0,50;0,49;0,56;0,55
Marshall Islands;MHL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,84;0,85;0,86;0,86;0,87;0,87;0,88;0,92;0,93;0,94;0,91;0,89;0,91;0,90;0,89;0,88;0,89;0,87;0,90;0,89;0,89;0,94;0,98;0,96;0,95;0,91;0,97;0,97;0,93;0,88;0,92;0,93;0,86;0,89;0,91
North Macedonia;MKD;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,43;0,46;0,24;0,28;0,37;0,48;0,46;0,37;0,34;0,33;0,30;0,30;0,31;0,37;0,39;0,39;0,39;0,44;0,46;0,42;0,40;0,44;0,40;0,41;0,41;0,35;0,34;0,35;0,36;0,33;0,33;0,34;0,32;0,35;0,35
Mali;MLI;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,56;0,49;0,51;0,48;0,34;0,43;0,40;0,36;0,36;0,33;0,28;0,28;0,30;0,32;0,36;0,36;0,37;0,40;0,44;0,43;0,41;0,46;0,44;0,44;0,43;0,36;0,34;0,35;0,37;0,34;0,35;0,37;0,32;0,33;0,33
Malta;MLT;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,77;0,76;0,78;0,65;0,67;0,71;0,69;0,64;0,64;0,63;0,57;0,56;0,58;0,65;0,71;0,71;0,72;0,78;0,84;0,79;0,76;0,80;0,74;0,77;0,78;0,67;0,65;0,66;0,69;0,63;0,64;0,67;0,60;0,64;0,63
Myanmar;MMR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,12;0,11;0,12;0,14;0,18;0,20;0,21;0,15;0,20;0,23;0,21;0,13;0,12;0,16;0,14;0,14;0,14;0,17;0,24;0,25;0,30;0,34;0,31;0,29;0,30;0,26;0,28;0,27;0,23;0,23;0,26;0,24;0,20;0,21;0,23
Montenegro;MNE;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;;;;;0,24;0,23;0,24;0,27;0,28;0,30;0,38;0,43;0,44;0,42;0,48;0,53;0,52;0,49;0,51;0,48;0,48;0,48;0,40;0,39;0,40;0,41;0,37;0,37;0,39;0,36;0,39;0,39
Mongolia;MNG;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,35;0,35;0,21;0,12;0,14;0,20;0,18;0,15;0,14;0,12;0,13;0,13;0,14;0,15;0,16;0,18;0,22;0,24;0,29;0,24;0,35;0,42;0,43;0,42;0,38;0,37;0,34;0,33;0,33;0,32;0,29;0,31;0,30;0,32;0,35
Mozambique;MOZ;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,91;0,92;0,70;0,64;0,60;0,60;0,70;0,74;0,76;0,76;0,69;0,57;0,54;0,55;0,59;0,61;0,57;0,59;0,65;0,58;0,50;0,58;0,64;0,62;0,60;0,46;0,32;0,37;0,39;0,37;0,33;0,35;0,37;0,37;0,38
Mauritania;MRT;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,46;0,49;0,47;0,37;0,40;0,38;0,36;0,36;0,34;0,31;0,29;0,28;0,27;0,29;0,31;0,35;0,38;0,42;0,49;0,44;0,51;0,57;0,52;0,48;0,44;0,39;0,33;0,30;0,32;0,31;0,31;0,33;0,30;0,31;0,29
Mauritius;MUS;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,51;0,51;0,53;0,50;0,51;0,55;0,56;0,49;0,45;0,46;0,44;0,41;0,42;0,47;0,49;0,46;0,46;0,49;0,56;0,49;0,51;0,55;0,55;0,54;0,54;0,48;0,46;0,48;0,50;0,47;0,42;0,40;0,38;0,39;0,38
Malawi;MWI;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,54;0,58;0,50;0,52;0,32;0,32;0,48;0,53;0,33;0,32;0,30;0,31;0,46;0,39;0,39;0,39;0,39;0,39;0,42;0,45;0,47;0,50;0,38;0,32;0,35;0,38;0,32;0,36;0,39;0,40;0,40;0,37;0,34;0,33;0,27
Malaysia;MYS;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,36;0,35;0,38;0,38;0,38;0,41;0,41;0,38;0,29;0,29;0,31;0,30;0,31;0,31;0,32;0,34;0,35;0,39;0,43;0,38;0,44;0,48;0,47;0,46;0,45;0,39;0,37;0,37;0,39;0,38;0,36;0,37;0,34;0,31;0,31
Namibia;NAM;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,55;0,53;0,55;0,52;0,54;0,55;0,53;0,52;0,46;0,44;0,42;0,37;0,33;0,45;0,53;0,54;0,54;0,56;0,52;0,53;0,63;0,65;0,63;0,55;0,52;0,46;0,43;0,52;0,54;0,49;0,41;0,45;0,41;0,37;0,38
Niger;NER;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,57;0,52;0,51;0,45;0,28;0,31;0,32;0,30;0,31;0,29;0,25;0,25;0,27;0,32;0,34;0,36;0,36;0,41;0,47;0,46;0,45;0,48;0,45;0,49;0,49;0,41;0,42;0,43;0,45;0,40;0,39;0,38;0,33;0,34;0,36
Nigeria;NGA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,26;0,27;0,22;0,24;0,34;0,59;0,73;0,75;0,79;0,21;0,23;0,22;0,25;0,25;0,28;0,33;0,42;0,44;0,50;0,40;0,49;0,52;0,56;0,58;0,59;0,50;0,41;0,38;0,40;0,42;0,38;0,37;0,36;0,26;0,13
Nicaragua;NIC;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,41;0,38;0,45;0,43;0,41;0,41;0,39;0,38;0,38;0,37;0,36;0,36;0,34;0,34;0,34;0,34;0,34;0,35;0,38;0,38;0,38;0,39;0,40;0,39;0,39;0,38;0,36;0,35;0,34;0,33;0,31;0,30;0,30;0,31;0,33
Netherlands;NLD;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,11;1,08;1,15;1,08;1,10;1,25;1,18;1,03;1,01;0,97;0,82;0,81;0,85;1,05;1,13;1,12;1,09;1,18;1,25;1,18;1,13;1,16;1,06;1,06;1,07;0,90;0,88;0,88;0,92;0,86;0,85;0,88;0,77;0,82;0,81
Norway;NOR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,53;1,46;1,48;1,30;1,27;1,43;1,39;1,28;1,23;1,19;1,03;1,02;1,13;1,30;1,35;1,40;1,37;1,52;1,57;1,44;1,51;1,62;1,55;1,54;1,47;1,23;1,20;1,18;1,18;1,08;1,02;1,05;0,89;0,87;0,86
Nepal;NPL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,24;0,24;0,19;0,19;0,20;0,20;0,19;0,20;0,19;0,18;0,18;0,17;0,17;0,17;0,18;0,19;0,20;0,21;0,24;0,23;0,27;0,35;0,32;0,30;0,28;0,30;0,29;0,29;0,30;0,28;0,27;0,28;0,27;0,26;0,25
Nauru;NRU;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,35;0,40;0,45;0,45;0,42;0,44;0,46;0,50;0,44;0,43;0,45;0,39;0,40;0,46;0,58;0,56;0,48;0,48;0,63;0,78;0,83;0,98;1,19;1,06;0,93;0,77;0,84;0,98;1,17;1,01;0,98;1,23;0,97;0,92;0,94
New Zealand;NZL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,92;0,84;0,79;0,82;0,89;0,97;1,02;0,91;0,76;0,74;0,63;0,62;0,72;0,91;1,01;1,08;0,96;1,11;1,05;0,92;1,08;1,17;1,21;1,19;1,20;1,03;1,00;1,02;1,02;0,95;0,92;1,04;0,91;0,90;0,88
Oman;OMN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,28;0,25;0,25;0,23;0,22;0,22;0,23;0,22;0,20;0,22;0,25;0,23;0,24;0,26;0,28;0,33;0,37;0,39;0,50;0,37;0,42;0,48;0,49;0,50;0,52;0,52;0,51;0,53;0,53;0,51;0,48;0,50;0,54;0,50;0,49
Pakistan;PAK;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,29;0,31;0,30;0,31;0,29;0,32;0,31;0,30;0,28;0,27;0,25;0,23;0,22;0,24;0,25;0,25;0,26;0,27;0,29;0,26;0,26;0,29;0,30;0,29;0,29;0,31;0,31;0,32;0,32;0,28;0,25;0,27;0,26;0,23;0,24
Panama;PAN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,51;0,50;0,51;0,52;0,52;0,51;0,52;0,51;0,51;0,51;0,49;0,49;0,49;0,48;0,48;0,48;0,47;0,47;0,50;0,53;0,54;0,55;0,57;0,56;0,54;0,52;0,49;0,47;0,50;0,50;0,49;0,50;0,48;0,47;0,46
Peru;PER;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,36;0,44;0,45;0,41;0,46;0,49;0,49;0,47;0,45;0,40;0,39;0,38;0,37;0,38;0,40;0,41;0,43;0,45;0,48;0,47;0,52;0,56;0,61;0,60;0,58;0,54;0,52;0,53;0,53;0,52;0,49;0,45;0,44;0,46;0,47
Philippines;PHL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,31;0,31;0,35;0,34;0,38;0,41;0,43;0,40;0,31;0,34;0,31;0,28;0,28;0,27;0,27;0,28;0,31;0,35;0,38;0,36;0,39;0,42;0,43;0,44;0,43;0,42;0,40;0,39;0,38;0,38;0,39;0,39;0,35;0,35;0,34
Palau;PLW;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,67;0,67;0,69;0,71;0,71;0,71;0,72;0,73;0,73;0,73;0,77;0,75;0,72;0,69;0,70;0,75;0,74;0,73;0,76;0,77;0,76;0,75;0,79;0,83;0,84;0,89;0,94;0,92;0,91;0,87;0,84;0,85;0,87;0,91;
Papua New Guinea;PNG;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,76;0,79;0,78;0,74;0,75;0,64;0,65;0,64;0,50;0,45;0,45;0,39;0,37;0,42;0,45;0,50;0,54;0,56;0,66;0,61;0,67;0,78;0,87;0,82;0,78;0,68;0,61;0,63;0,66;0,63;0,62;0,66;0,70;0,64;0,63
Poland;POL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,28;0,38;0,40;0,38;0,41;0,48;0,50;0,46;0,48;0,44;0,42;0,45;0,44;0,46;0,50;0,58;0,60;0,67;0,76;0,60;0,60;0,61;0,55;0,56;0,56;0,47;0,44;0,46;0,48;0,44;0,44;0,45;0,41;0,47;0,50
