* De conditionele kans op overschrijding van windsnelheid u gegeven de windrichting r.                                                                                
* voor 12-uursmaxima te Schiphol. 
*
* Onderstaande tabel is afkomstig uit bijlage G van:               
* Wind-waterstandstatistiek Hoek van Holland. C.P.M. Geerse (RIZA), M.T. Duits (HKV),
* H.J. Kalk (HKV), I.B.M. Lammers, (HKV). RIZA/HKV rapport, Lelystad, juli 2002.
*
* De tabel is gebaseerd op overschrijdingskansen op basis van KNMI data voor lage 
* windsnelheden en Rijkoort Weibull voor hoge windsnelheden 
*  
* De overgang tussen KNMI-uur data bij lage windsnelheden en Rijkoort Weibull verdelingen
* voor hoge windsnelheden is aangebracht bij een terugkeertijd van ongeveer eens in de 10 
* jaar en is in Excel gedaan. De overgangen zijn geleidelijk!
*
* Voor het klimaatscenario van dit bestand is vervolgens 10 procent meer wind verondersteld 
*
*u     NNO          NO           ONO          O            OZO          ZO           ZZO          Z            ZZW          ZW           WZW          W            WNW          NW           NNW          N
15     1.00E-02     1.03E-02     9.36E-03     7.30E-03     5.00E-03     5.91E-03     8.36E-03     2.39E-02     7.02E-02     1.52E-01     1.68E-01     1.54E-01     1.09E-01     7.32E-02     3.79E-02     1.43E-02
16     5.08E-03     5.13E-03     5.29E-03     3.93E-03     3.05E-03     3.51E-03     5.25E-03     1.52E-02     4.75E-02     1.16E-01     1.19E-01     1.05E-01     7.47E-02     5.19E-02     2.70E-02     6.93E-03
17     2.63E-03     2.67E-03     2.79E-03     1.98E-03     1.46E-03     1.63E-03     3.23E-03     9.45E-03     3.14E-02     8.32E-02     8.32E-02     7.30E-02     5.26E-02     3.71E-02     1.72E-02     3.96E-03
18     1.30E-03     1.31E-03     1.38E-03     9.26E-04     6.25E-04     6.95E-04     1.72E-03     5.54E-03     1.97E-02     5.65E-02     5.92E-02     5.20E-02     3.97E-02     2.38E-02     1.03E-02     2.19E-03
19     6.15E-04     6.02E-04     6.40E-04     4.03E-04     2.47E-04     2.75E-04     8.83E-04     3.07E-03     1.23E-02     3.89E-02     4.12E-02     3.53E-02     2.97E-02     1.45E-02     6.40E-03     1.18E-03
20     2.81E-04     2.60E-04     2.78E-04     1.63E-04     9.04E-05     1.02E-04     4.34E-04     1.62E-03     7.53E-03     2.58E-02     2.58E-02     2.24E-02     1.86E-02     8.56E-03     4.06E-03     6.14E-04
21     1.24E-04     1.06E-04     1.13E-04     6.13E-05     3.07E-05     3.53E-05     2.06E-04     8.16E-04     4.95E-03     1.71E-02     1.63E-02     1.39E-02     1.13E-02     5.94E-03     2.49E-03     3.12E-04
22     5.36E-05     4.08E-05     4.32E-05     2.15E-05     9.69E-06     1.13E-05     9.43E-05     3.92E-04     3.16E-03     1.00E-02     1.00E-02     1.00E-02     6.74E-03     4.07E-03     1.50E-03     1.54E-04
23     2.25E-05     1.47E-05     1.54E-05     6.94E-06     2.83E-06     3.37E-06     4.13E-05     1.78E-04     1.95E-03     7.42E-03     4.91E-03     6.46E-03     4.72E-03     2.75E-03     8.74E-04     7.34E-05
24     9.24E-06     5.01E-06     5.18E-06     2.09E-06     7.72E-07     9.36E-07     1.74E-05     7.67E-05     1.17E-03     4.29E-03     3.19E-03     4.44E-03     3.25E-03     1.83E-03     5.03E-04     3.39E-05
25     3.72E-06     1.60E-06     1.63E-06     5.89E-07     1.98E-07     2.43E-07     7.01E-06     3.16E-05     6.87E-04     3.00E-03     2.10E-03     3.03E-03     2.21E-03     1.21E-03     2.83E-04     1.51E-05
26     1.47E-06     4.83E-07     4.85E-07     1.55E-07     4.79E-08     5.88E-08     2.70E-06     1.23E-05     3.93E-04     1.14E-03     1.36E-03     2.03E-03     1.48E-03     7.93E-04     1.57E-04     6.51E-06
27     5.70E-07     1.38E-07     1.35E-07     3.84E-08     1.10E-08     1.33E-08     9.92E-07     4.58E-06     2.19E-04     5.11E-04     8.69E-04     1.35E-03     9.81E-04     5.14E-04     8.60E-05     2.71E-06
28     2.17E-07     3.68E-08     3.54E-08     8.89E-09     2.38E-09     2.80E-09     3.48E-07     1.62E-06     1.19E-04     3.08E-04     5.47E-04     8.85E-04     6.41E-04     3.30E-04     4.62E-05     1.09E-06
29     8.08E-08     9.25E-09     8.72E-09     1.94E-09     4.90E-10     5.42E-10     1.16E-07     5.40E-07     6.31E-05     1.83E-04     3.39E-04     5.72E-04     4.13E-04     2.09E-04     2.44E-05     4.24E-07
30     2.93E-08     2.20E-09     2.03E-09     4.13E-10     9.98E-11     9.79E-11     3.65E-08     1.70E-07     3.27E-05     1.08E-04     2.07E-04     3.67E-04     2.62E-04     1.31E-04     1.27E-05     1.59E-07
31     1.03E-08     4.91E-10     4.44E-10     0.00E+00     0.00E+00     0.00E+00     1.09E-08     5.10E-08     1.66E-05     6.22E-05     1.25E-04     2.32E-04     1.65E-04     8.10E-05     6.43E-06     5.74E-08
32     3.56E-09     9.62E-11     7.71E-11     0.00E+00     0.00E+00     0.00E+00     3.09E-09     1.45E-08     8.19E-06     3.55E-05     7.47E-05     1.46E-04     1.02E-04     4.95E-05     3.21E-06     2.00E-08
33     1.19E-09     1.05E-11     3.84E-12     0.00E+00     0.00E+00     0.00E+00     8.26E-10     3.87E-09     3.96E-06     2.01E-05     4.41E-05     9.11E-05     6.27E-05     2.99E-05     1.57E-06     6.73E-09
34     3.78E-10     9.90E-13     0.00E+00     0.00E+00     0.00E+00     0.00E+00     2.07E-10     9.71E-10     1.86E-06     1.11E-05     2.56E-05     5.59E-05     3.79E-05     1.78E-05     7.50E-07     2.16E-09
35     1.20E-10     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     4.77E-11     2.23E-10     8.50E-07     6.10E-06     1.46E-05     3.42E-05     2.25E-05     1.04E-05     3.52E-07     6.92E-10
36     2.07E-11     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     7.79E-12     3.65E-11     3.81E-07     3.32E-06     8.32E-06     2.06E-05     1.33E-05     6.04E-06     1.61E-07     1.19E-10
37     7.22E-13     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     1.66E-07     1.78E-06     4.67E-06     1.23E-05     7.72E-06     3.45E-06     7.22E-08     4.15E-12
38     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     7.07E-08     9.37E-07     2.59E-06     7.30E-06     4.44E-06     1.95E-06     3.18E-08     0.00E+00
39     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     2.93E-08     4.88E-07     1.43E-06     4.28E-06     2.52E-06     1.08E-06     1.37E-08     0.00E+00
40     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     1.18E-08     2.51E-07     7.75E-07     2.49E-06     1.42E-06     5.93E-07     5.75E-09     0.00E+00
41     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     4.66E-09     1.27E-07     4.18E-07     1.44E-06     7.86E-07     3.21E-07     2.36E-09     0.00E+00
42     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     1.79E-09     6.35E-08     2.24E-07     8.16E-07     4.31E-07     1.72E-07     9.39E-10     0.00E+00
43     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     6.60E-10     3.13E-08     1.18E-07     4.58E-07     2.34E-07     9.06E-08     0.00E+00     0.00E+00
44     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     2.37E-10     1.52E-08     6.20E-08     2.55E-07     1.25E-07     4.70E-08     0.00E+00     0.00E+00
45     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     8.76E-11     7.23E-09     3.21E-08     1.40E-07     6.63E-08     2.41E-08     0.00E+00     0.00E+00
46     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     4.58E-11     3.40E-09     1.66E-08     7.61E-08     3.47E-08     1.22E-08     0.00E+00     0.00E+00
