ḫrp,0x130A5 0x139E6
ḏsr,0x130A6 0x139D3 0x139E2 0x139E8 0x139F1 0x139F2 0x139F3 0x139EB 0x139F5 0x13AD8 0x13AE3
d,0x130A7 0x139F7
ꞽd.t,0x130A8 0x139F8 0x139FB 0x13A0D 0x13130
ḏr.t,0x130A9 0x130C6
šsp,0x130AA 0x139CD 0x13B25 0x13B23 0x1328F 0x13FF6 0x13FF7 0x13FFB 0x13FFA 0x13290 0x13FFE
ḥnt,0x130AB 0x139FF 0x139FE
ꜣmm,0x130AC
ḏbꜥ,0x130AD
ṯꜣꞽ,0x130B7
bꜣḥ,0x130B8 0x130BA 0x13A08
sšm,0x130B9 0x141BA 0x141BD 0x141BE 0x1332B 0x1332C 0x1332D 0x1332E 0x14287
ꞽwꞽ,0x130BC
rd,0x130BE 0x13EA3 0x131DF 0x14228 0x14388
nkn,0x130BF
b,0x13730 0x130C0 0x13C36 0x13C4A 0x13C58 0x13C10 0x13CD9
ꜥb,0x13623 0x130C1 0x1310F
sꜣḥ,0x134D8 0x1382F 0x13632 0x1382E 0x130C3 0x130C4 0x130C5 0x13A23 0x13A22 0x13A24 0x13A21 0x13A26 0x13955 0x13A2A 0x13A29 0x13A2D 0x13A2F 0x1405A
šrꞽ,0x130C7
wdꞽ,0x13541 0x130C8
smꜣ,0x13971 0x130D3 0x13B36 0x13B35 0x13B38 0x13B6B 0x13125 0x13BDF 0x132CD 0x13BE0 0x13BE1 0x132F6 0x141E2 0x13427 0x143F8
bḥs,0x130D4
mḥ.yt,0x130D5 0x13AD2
ꜣms,0x130D6 0x13B47 0x13B44 0x13A75 0x13B31 0x141DA 0x141DF 0x141E0
ḥtr,0x13610 0x130D7 0x13AA8 0x13AA7 0x13B2D 0x13C1F 0x13C20
ꜥꜣ,0x130D8 0x1327B 0x1327C 0x1327F
ꞽb,0x130D9 0x130DA 0x13123 0x13C30
ꞽw,0x130DB 0x13A7B 0x13A7A 0x13A5F 0x13A60 0x13200 0x13F32 0x13F40
ꞽh.t,0x130DC 0x13B50
bꜣ,0x130DD 0x130DE 0x13A71 0x13A6B 0x13BCA 0x13161 0x13C34 0x13C37 0x13C38 0x13C11 0x1317D 0x13CD5 0x13CD6 0x13C52 0x13C3C 0x13CDE 0x13DB3 0x13FD7 0x133BB 0x13410
ꞽpḥ,0x130DF
mꞽ,0x130E0 0x133C7 0x1437F 0x14384
ṯsm,0x130E1 0x13A86 0x1311B
ꞽnp.w,0x130E2 0x13A8B 0x130E4 0x13A8E 0x13A8D 0x13A8C 0x13A98
ḥr.y-sštꜣ,0x130E3 0x13A97
sꜣb,0x130E5 0x13A80 0x1311C 0x13B7D
sṯꜣ,0x130E6 0x13A83 0x1336C 0x14320
wp-wꜣ.wt,0x13A8F 0x130E7 0x130E8 0x13A84 0x13A93 0x13A91 0x13A92
mꜣꞽ,0x130EC 0x13AC2 0x13AC8
ꜣby,0x130EE 0x13AE5
ḫꜣb,0x134AA 0x130EF 0x13AB3
ꜣbw,0x130F0 0x13BA1 0x13BD7 0x13BDB 0x13F76 0x1331F 0x14397
sr,0x134C6 0x134D7 0x13600 0x1349A 0x13938 0x13954 0x139EF 0x130F1 0x143DF
mꜣ-ḥḏ,0x1354D 0x130F2 0x130F3 0x13A5C 0x13A5E 0x13A62 0x13A5D 0x13A5B 0x13247
gḥs,0x130F4 0x13A66 0x13B87
n(ꞽ)ꜣw,0x130F5 0x13B8C
sꜥḥ,0x1364C 0x13AAB 0x130F6 0x13A65 0x141A9 0x141F5
ḳnd,0x13AE6 0x130F7
gf,0x130F8
wn,0x13910 0x13911 0x13912 0x13913 0x13914 0x138EA 0x130F9 0x13ABD 0x13ABE 0x131EC
ḏḥwty,0x13AE9 0x130FB 0x1315D 0x13C5D 0x13C5F 0x13C62 0x13C63 0x13C65 0x13EEB 0x13EEC
