model_id,model_name,unit_id,hms_file,project_name,description,hms_version,unit_system,loss_method,transform_method,baseflow_method,routing_method,design_storms,rainfall_region,dss_file,relative_path
G,San Jacinto River,G103-07-00-alt,G1030700.hms,G1030700,HCFCD Unit # G103-07-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1030700.dss,G/HEC-HMS/G103_07_00/G103_07_00
G,San Jacinto River,G103-33-00,G1033300.hms,G1033300,HCFCD Unit # G103-33-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1033300.dss,G/HEC-HMS/G103_33_00/G103_33_00
G,San Jacinto River,G103-43-00,G1034300.hms,G1034300,HCFCD Unit # G103-43-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1034300.dss,G/HEC-HMS/G103_43_00/G103_43_00
G,San Jacinto River,G103-44-00,G1034400.hms,G1034400,HCFCD Unit # G103-44-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1034400.dss,G/HEC-HMS/G103_44_00/G103_44_00
G,San Jacinto River,G103-48-00,G1034800.hms,G1034800,HCFCD Unit # G103-48-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1034800.dss,G/HEC-HMS/G103_48_00/G103_48_00
G,San Jacinto River,G103-80-31,G1038031.hms,G1038031,HCFCD Unit # G103-80-31,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1038031.dss,G/HEC-HMS/G103_80_31/G103_80_31
G,San Jacinto River,G103-80-32,G1038032.hms,G1038032,HCFCD Unit # G103-80-32,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1038032.dss,G/HEC-HMS/G103_80_32/G103_80_32
G,San Jacinto River,G104-00-00,G1040000.hms,G1040000,HCFCD Unit # G104-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1040000.dss,G/HEC-HMS/G104_00_00/G104_00_00
G,San Jacinto River,G105-00-00,G1050000.hms,G1050000,HCFCD Unit # G105-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1050000.dss,G/HEC-HMS/G105_00_00/G105_00_00
G,San Jacinto River,G108-00-00,G1080000.hms,G1080000,HCFCD Unit # G108-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1080000.dss,G/HEC-HMS/G108_00_00/G108_00_00
G,San Jacinto River,G109-00-00,G1090000.hms,G1090000,HCFCD Unit # G109-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1090000.dss,G/HEC-HMS/G109_00_00/G109_00_00
G,San Jacinto River,G110-00-00,G1100000.hms,G1100000,HCFCD Unit # G110-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1100000.dss,G/HEC-HMS/G110_00_00/G110_00_00
G,San Jacinto River,G112-00-00,G1120000.hms,G1120000,HCFCD Unit # G112-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,G1120000.dss,G/HEC-HMS/G112_00_00/G112_00_00
H,Hunting Bayou,H100-00-00,H100_00_00.hms,H100_00_00,HCFCD Unit # H100-00-00,3.3,Metric,Initial+Constant,Clark,Recession,Lag,"0.2%,1%,2%,10%",Region 3,H100_00_00.dss,H/HEC-HMS/H100_00_00/H100_00_00
I,Vince Bayou,I100-00-00,I1000000.hms,I1000000,HCFCD Unit # I100-00-00,3.3,Metric,Initial+Constant,Clark,Recession,Lag,"0.2%,1%,2%,10%",Region 3,I1000000.dss,I/HEC-HMS/I100_00_00/I100_00_00
J,Spring Creek,J100-00-00,J100_00_00.hms,J100_00_00,HCFCD Unit # J100-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,J100_00_00.dss,J/HEC-HMS/J100_00_00/J100_00_00
K,Cypress Creek,K100-00-00,K100_LOMR.hms,K100_LOMR,HCFCD Unit # K100-00-00 LOMR,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,K100_LOMR.dss,K/HEC-HMS/K100-00-00/K100-00-00
K,Cypress Creek,K100-L100,k100_00_00.hms,k100_00_00,HCFCD Unit # K100-00-00 with L100,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,k100_00_00.dss,K/HEC-HMS/K100_L100/K100_L100
L,Little Cypress Creek,L100-00-00,K100_LOMR.hms,K100_LOMR,HCFCD Unit # L100-00-00 (shared K100),3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,K100_LOMR.dss,L/HEC-HMS/L100-00-00/L100-00-00
L,Little Cypress Creek,L100-K100,k100_00_00.hms,k100_00_00,HCFCD Unit # L100-00-00 with K100,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,k100_00_00.dss,L/HEC-HMS/K100_L100/K100_L100
M,Willow Creek,M100-00-00,M100_00_00.hms,M100_00_00,HCFCD Unit # M100-00-00,3.3,Metric,Initial+Constant,Modified Clark,Recession,Muskingum,"0.2%,1%,2%,10%",Region 3,M100_00_00.dss,M/HEC-HMS/M100-00-00/M100-00-00
N,Carpenters Bayou,N100-00-00,N100_00_00.hms,N100_00_00,HCFCD Unit # N100-00-00,3.3,Metric,Initial+Constant,Clark,Recession,Lag,"0.2%,1%,2%,10%",Region 3,N100_00_00.dss,N/HEC-HMS/N100-00-00/N100-00-00
O,Spring Gully/Goose Creek,O100-00-00,0100_00_00.hms,0100_00_00,HCFCD Unit # O100-00-00,3.3,Metric,Initial+Constant,Clark,Recession,Lag,"0.2%,1%,2%,10%",Region 3,0100_00_00.dss,O/HEC-HMS/O100-00-00/O100-00-00
O,Spring Gully/Goose Creek,O200-00-00,O2000000.hms,O2000000,HCFCD Unit # O200-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,O2000000.dss,O/HEC-HMS/O200_00_00/O200_00_00
P,Greens Bayou,P100-00-00,P1000000.hms,P1000000,FEMA Effective June 09 2014 - LOMR 20-06-0474P,3.3,Metric,Initial+Constant,Modified Clark,Recession,Muskingum,"0.2%,1%,2%,10%",Region 2,P1000000.dss,P/HEC-HMS/P_P100-00-00/P_P100-00-00
Q,Cedar Bayou,Q100-00-00,Q100_00_00.hms,Q100_00_00,HCFCD Unit # Q100-00-00,3.3,Metric,Initial+Constant,Clark,Recession,Lag,"0.2%,1%,2%,10%",Region 3,Q100_00_00.dss,Q/HEC-HMS/Q100-00-00/Q100-00-00
R,Jackson Bayou,R100-00-00,R100_00_00.hms,R100_00_00,HCFCD Unit # R100-00-00,3.3,Metric,Initial+Constant,Clark,Recession,Lag,"0.2%,1%,2%,10%",Region 3,R100_00_00.dss,R/HEC-HMS/R100_00_00/R100_00_00
S,Luce Bayou,S110-00-00,S1100000.hms,S1100000,HCFCD Unit # S110-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,S1100000.dss,S/HEC-HMS/S110_00_00/S110_00_00
S,Luce Bayou,S114-00-00,S1140000.hms,S1140000,HCFCD Unit # S114-00-00,3.3,Metric,Initial+Constant,Clark,None,Modified Puls,"0.2%,1%,2%,10%",Region 3,S1140000.dss,S/HEC-HMS/S114_00_00/S114_00_00
T,Barker,T100-00-00,T100_00_00.hms,T100_00_00,HCFCD Unit # T100-00-00,3.3,Metric,Initial+Constant,Clark,Recession,Lag,"0.2%,1%,2%,10%",Region 1,T100_00_00.dss,T/HEC-HMS/T100_00_00/T100_00_00
U,Addicks,U100-00-00,Restudy_Proposed.hms,Restudy_Proposed,Addicks Restudy - LOMR updates,3.4,Metric,Initial+Constant,Modified Clark,Recession,Muskingum,"0.2%,0.4%,1%,2%,4%,10%,20%,50%",Region 1,Restudy_Proposed.dss,U/HEC-HMS/U_U100-00-00/U100-00-00
W,Buffalo Bayou,W100-00-00,W100_00_00.hms,W100-00-00,HCFCD Unit # W100-00-00 - TSARP,3.3,Metric,Initial+Constant,Modified Clark,Recession,Muskingum,"0.2%,1%,2%,10%",Region 3,W100_00_00.dss,W/HEC-HMS/W100_00_00/W100_00_00
