#age [Z/H] [alpha/Fe] Hbeta Mg2 Mgb Fe5270 Fe5335 Fe MgFe
5.5 0.26 0 2.06 0.198 3.583 3.14 2.98 3.06 3.33
6 0.26 0 1.998 0.203 3.658 3.179 3.026 3.102 3.387
6.5 0.26 0 1.952 0.208 3.718 3.217 3.06 3.138 3.435
7 0.26 0 1.914 0.212 3.778 3.252 3.093 3.173 3.481
7.5 0.26 0 1.886 0.216 3.819 3.277 3.119 3.198 3.514
8 0.26 0 1.858 0.22 3.875 3.312 3.147 3.23 3.558
8.5 0.26 0 1.85 0.221 3.878 3.335 3.161 3.248 3.57
9 0.26 0 1.819 0.225 3.939 3.365 3.191 3.278 3.614
9.5 0.26 0 1.793 0.229 3.982 3.394 3.217 3.306 3.649
10 0.26 0 1.763 0.232 4.016 3.42 3.238 3.329 3.679
10.5 0.26 0 1.733 0.235 4.061 3.438 3.256 3.347 3.709
11 0.26 0 1.71 0.239 4.101 3.456 3.273 3.365 3.736
11.5 0.26 0 1.674 0.242 4.142 3.479 3.3 3.39 3.769
12 0.26 0 1.649 0.245 4.166 3.497 3.316 3.407 3.789
12.5 0.26 0 1.623 0.248 4.213 3.513 3.328 3.421 3.819
13 0.26 0 1.595 0.251 4.251 3.533 3.348 3.441 3.847
13.5 0.26 0 1.576 0.254 4.286 3.55 3.365 3.458 3.872
14 0.26 0 1.547 0.257 4.336 3.573 3.385 3.479 3.907
0.6 -0.96 0.2 5.452 0.023 0.754 0.683 0.654 0.668 0.713
0.7 -0.96 0.2 5.455 0.023 0.805 0.713 0.687 0.7 0.754
0.8 -0.96 0.2 5.421 0.024 0.851 0.744 0.706 0.725 0.79
0.9 -0.96 0.2 5.25 0.024 0.892 0.778 0.73 0.754 0.826
1 -0.96 0.2 4.954 0.026 0.928 0.83 0.778 0.804 0.87
1.25 -0.96 0.2 4.059 0.036 1.049 1.013 0.948 0.98 1.022
1.5 -0.96 0.2 3.736 0.038 1.045 1.08 1.014 1.047 1.053
1.75 -0.96 0.2 3.649 0.041 1.058 1.123 1.06 1.092 1.082
2 -0.96 0.2 3.477 0.043 1.082 1.148 1.082 1.115 1.105
2.25 -0.96 0.2 3.248 0.045 1.118 1.19 1.117 1.154 1.143
2.5 -0.96 0.2 3.129 0.047 1.136 1.202 1.125 1.164 1.158
2.75 -0.96 0.2 3.13 0.046 1.131 1.18 1.109 1.145 1.146
3 -0.96 0.2 3.06 0.047 1.156 1.202 1.128 1.165 1.168
3.25 -0.96 0.2 3.001 0.048 1.18 1.222 1.145 1.184 1.19
3.5 -0.96 0.2 2.988 0.049 1.199 1.227 1.145 1.186 1.202
3.75 -0.96 0.2 2.923 0.05 1.211 1.239 1.156 1.197 1.213
4 -0.96 0.2 2.86 0.051 1.218 1.253 1.168 1.211 1.223
4.5 -0.96 0.2 2.768 0.053 1.244 1.277 1.188 1.232 1.248
5 -0.96 0.2 2.696 0.055 1.265 1.297 1.209 1.253 1.269
5.5 -0.96 0.2 2.661 0.056 1.27 1.307 1.221 1.264 1.276
6 -0.96 0.2 2.587 0.057 1.281 1.326 1.24 1.283 1.291
6.5 -0.96 0.2 2.52 0.059 1.296 1.352 1.263 1.307 1.311
7 -0.96 0.2 2.473 0.061 1.318 1.372 1.283 1.328 1.332
7.5 -0.96 0.2 2.432 0.062 1.348 1.388 1.296 1.342 1.355
8 -0.96 0.2 2.392 0.064 1.359 1.406 1.309 1.357 1.369
8.5 -0.96 0.2 2.352 0.065 1.378 1.418 1.319 1.369 1.384
9 -0.96 0.2 2.299 0.066 1.38 1.431 1.331 1.381 1.391
9.5 -0.96 0.2 2.268 0.068 1.395 1.444 1.34 1.392 1.405
10 -0.96 0.2 2.322 0.068 1.391 1.425 1.319 1.372 1.393
10.5 -0.96 0.2 2.406 0.067 1.38 1.414 1.311 1.363 1.383
11 -0.96 0.2 2.519 0.068 1.404 1.41 1.312 1.361 1.393
11.5 -0.96 0.2 2.59 0.069 1.414 1.407 1.314 1.36 1.398
12 -0.96 0.2 2.683 0.069 1.416 1.407 1.318 1.363 1.399
12.5 -0.96 0.2 2.749 0.069 1.421 1.413 1.327 1.37 1.405
13 -0.96 0.2 2.808 0.07 1.423 1.426 1.337 1.382 1.412
13.5 -0.96 0.2 2.812 0.071 1.424 1.442 1.348 1.395 1.42
14 -0.96 0.2 2.805 0.073 1.431 1.467 1.369 1.418 1.435
0.6 -0.66 0.2 5.789 0.027 0.826 0.814 0.785 0.8 0.816
0.7 -0.66 0.2 5.685 0.026 0.881 0.84 0.806 0.823 0.855
0.8 -0.66 0.2 5.504 0.028 0.942 0.872 0.831 0.852 0.9
0.9 -0.66 0.2 5.174 0.03 1 0.9 0.868 0.884 0.944
1 -0.66 0.2 4.753 0.034 1.059 0.945 0.919 0.932 0.997
1.25 -0.66 0.2 4.061 0.05 1.267 1.22 1.161 1.19 1.235
1.5 -0.66 0.2 3.749 0.057 1.349 1.319 1.245 1.282 1.324
1.75 -0.66 0.2 3.344 0.067 1.516 1.401 1.328 1.364 1.447
2 -0.66 0.2 3.323 0.068 1.533 1.398 1.329 1.363 1.454
2.25 -0.66 0.2 3.161 0.071 1.566 1.427 1.354 1.391 1.484
2.5 -0.66 0.2 2.98 0.073 1.61 1.462 1.384 1.423 1.523
2.75 -0.66 0.2 2.851 0.076 1.645 1.493 1.412 1.453 1.555
3 -0.66 0.2 2.871 0.075 1.645 1.476 1.401 1.439 1.547
3.25 -0.66 0.2 2.817 0.077 1.664 1.491 1.413 1.452 1.563
3.5 -0.66 0.2 2.746 0.078 1.69 1.507 1.431 1.469 1.585
3.75 -0.66 0.2 2.663 0.079 1.699 1.522 1.444 1.483 1.597
4 -0.66 0.2 2.625 0.08 1.703 1.527 1.448 1.488 1.601
4.5 -0.66 0.2 2.504 0.082 1.738 1.547 1.47 1.508 1.628
5 -0.66 0.2 2.394 0.085 1.766 1.571 1.485 1.528 1.653
5.5 -0.66 0.2 2.326 0.086 1.794 1.587 1.5 1.543 1.674
6 -0.66 0.2 2.275 0.088 1.82 1.599 1.515 1.557 1.693
6.5 -0.66 0.2 2.205 0.09 1.849 1.62 1.526 1.573 1.717
7 -0.66 0.2 2.147 0.092 1.878 1.644 1.54 1.592 1.742
7.5 -0.66 0.2 2.107 0.093 1.913 1.655 1.552 1.603 1.764
8 -0.66 0.2 2.072 0.095 1.949 1.672 1.563 1.618 1.789
8.5 -0.66 0.2 2.049 0.097 1.977 1.685 1.58 1.632 1.809
9 -0.66 0.2 2.029 0.098 1.986 1.693 1.589 1.641 1.818
9.5 -0.66 0.2 2.004 0.099 2.013 1.704 1.602 1.653 1.836
10 -0.66 0.2 1.987 0.101 2.035 1.718 1.615 1.667 1.854
10.5 -0.66 0.2 1.966 0.102 2.059 1.728 1.625 1.676 1.87
11 -0.66 0.2 1.946 0.103 2.071 1.736 1.631 1.683 1.88
11.5 -0.66 0.2 1.944 0.105 2.094 1.748 1.645 1.697 1.898
12 -0.66 0.2 1.955 0.105 2.106 1.759 1.653 1.706 1.908
12.5 -0.66 0.2 1.959 0.106 2.13 1.762 1.653 1.707 1.92
13 -0.66 0.2 1.968 0.107 2.14 1.771 1.658 1.714 1.929
13.5 -0.66 0.2 1.975 0.108 2.152 1.775 1.663 1.719 1.937
14 -0.66 0.2 2.131 0.107 2.139 1.741 1.64 1.691 1.914
0.6 -0.35 0.2 6.152 0.031 0.922 0.918 0.889 0.904 0.916
0.7 -0.35 0.2 5.71 0.034 1.022 0.963 0.95 0.956 0.99
0.8 -0.35 0.2 5.389 0.038 1.093 1.054 1.021 1.038 1.069
0.9 -0.35 0.2 5.055 0.042 1.165 1.129 1.082 1.105 1.14
1 -0.35 0.2 4.794 0.045 1.222 1.201 1.141 1.171 1.203
1.25 -0.35 0.2 3.893 0.066 1.524 1.493 1.402 1.448 1.495
1.5 -0.35 0.2 3.284 0.101 2.019 1.815 1.705 1.76 1.898
1.75 -0.35 0.2 3.249 0.09 1.925 1.76 1.632 1.696 1.822
2 -0.35 0.2 2.889 0.098 2.048 1.913 1.774 1.843 1.959
2.25 -0.35 0.2 2.825 0.099 2.074 1.874 1.74 1.807 1.952
2.5 -0.35 0.2 2.716 0.101 2.11 1.869 1.737 1.803 1.966
2.75 -0.35 0.2 2.624 0.104 2.181 1.877 1.744 1.811 2.003
3 -0.35 0.2 2.557 0.107 2.246 1.882 1.743 1.813 2.035
3.25 -0.35 0.2 2.508 0.109 2.299 1.898 1.758 1.828 2.067
3.5 -0.35 0.2 2.481 0.111 2.339 1.915 1.767 1.841 2.093
3.75 -0.35 0.2 2.46 0.112 2.36 1.903 1.755 1.829 2.096
4 -0.35 0.2 2.424 0.114 2.397 1.917 1.768 1.843 2.12
4.5 -0.35 0.2 2.342 0.117 2.464 1.94 1.788 1.864 2.162
5 -0.35 0.2 2.308 0.118 2.502 1.944 1.792 1.868 2.181
5.5 -0.35 0.2 2.252 0.122 2.572 1.971 1.812 1.892 2.226
6 -0.35 0.2 2.194 0.125 2.63 1.994 1.834 1.914 2.264
6.5 -0.35 0.2 2.151 0.128 2.678 2.01 1.847 1.928 2.293
7 -0.35 0.2 2.103 0.131 2.727 2.03 1.864 1.947 2.326
7.5 -0.35 0.2 2.069 0.133 2.769 2.051 1.883 1.967 2.356
8 -0.35 0.2 2.025 0.135 2.817 2.071 1.902 1.986 2.387
8.5 -0.35 0.2 1.988 0.138 2.876 2.089 1.918 2.004 2.423
9 -0.35 0.2 1.961 0.141 2.916 2.102 1.928 2.015 2.447
9.5 -0.35 0.2 1.936 0.143 2.941 2.121 1.941 2.031 2.468
10 -0.35 0.2 1.917 0.144 2.958 2.133 1.952 2.043 2.482
10.5 -0.35 0.2 1.888 0.146 2.984 2.149 1.971 2.06 2.503
11 -0.35 0.2 1.861 0.148 3.022 2.161 1.984 2.073 2.526
11.5 -0.35 0.2 1.85 0.149 3.039 2.169 1.992 2.081 2.538
12 -0.35 0.2 1.831 0.151 3.053 2.179 2.002 2.091 2.55
12.5 -0.35 0.2 1.811 0.152 3.07 2.184 2.011 2.097 2.561
13 -0.35 0.2 1.801 0.154 3.092 2.193 2.022 2.108 2.576
13.5 -0.35 0.2 1.791 0.155 3.113 2.205 2.035 2.12 2.592
14 -0.35 0.2 1.808 0.156 3.108 2.197 2.032 2.114 2.585
0.6 0.06 0.2 5.956 0.049 1.324 1.433 1.286 1.36 1.358
0.7 0.06 0.2 5.527 0.056 1.415 1.602 1.417 1.51 1.481
0.8 0.06 0.2 5.091 0.062 1.519 1.71 1.513 1.611 1.586
0.9 0.06 0.2 4.637 0.068 1.662 1.74 1.564 1.652 1.676
1 0.06 0.2 4.34 0.074 1.77 1.802 1.629 1.715 1.762
1.25 0.06 0.2 3.552 0.098 2.12 2.01 1.853 1.932 2.042
1.5 0.06 0.2 3.235 0.118 2.426 2.188 2.03 2.109 2.281
1.75 0.06 0.2 3.065 0.124 2.575 2.25 2.076 2.163 2.381
2 0.06 0.2 2.882 0.134 2.796 2.326 2.157 2.242 2.524
2.25 0.06 0.2 2.731 0.142 2.959 2.407 2.216 2.312 2.639
2.5 0.06 0.2 2.591 0.151 3.128 2.473 2.274 2.373 2.75
2.75 0.06 0.2 2.517 0.158 3.246 2.51 2.309 2.409 2.822
3 0.06 0.2 2.509 0.158 3.279 2.495 2.289 2.392 2.827
3.25 0.06 0.2 2.445 0.163 3.377 2.53 2.323 2.426 2.889
3.5 0.06 0.2 2.39 0.167 3.441 2.561 2.35 2.455 2.934
3.75 0.06 0.2 2.34 0.17 3.502 2.587 2.371 2.479 2.974
4 0.06 0.2 2.299 0.173 3.568 2.61 2.394 2.502 3.016
4.5 0.06 0.2 2.254 0.179 3.654 2.649 2.42 2.535 3.073
5 0.06 0.2 2.255 0.179 3.661 2.636 2.406 2.521 3.068
5.5 0.06 0.2 2.21 0.184 3.744 2.678 2.437 2.557 3.126
6 0.06 0.2 2.175 0.188 3.818 2.711 2.465 2.588 3.176
6.5 0.06 0.2 2.145 0.19 3.855 2.724 2.477 2.6 3.199
7 0.06 0.2 2.109 0.194 3.906 2.752 2.498 2.625 3.236
7.5 0.06 0.2 2.073 0.197 3.959 2.779 2.521 2.65 3.274
8 0.06 0.2 2.033 0.201 4.019 2.804 2.54 2.672 3.313
8.5 0.06 0.2 1.991 0.203 4.067 2.822 2.557 2.69 3.343
9 0.06 0.2 1.947 0.206 4.129 2.843 2.573 2.708 3.38
9.5 0.06 0.2 1.911 0.209 4.175 2.864 2.594 2.729 3.412
10 0.06 0.2 1.883 0.211 4.217 2.889 2.616 2.752 3.444
10.5 0.06 0.2 1.863 0.214 4.259 2.91 2.638 2.774 3.474
11 0.06 0.2 1.856 0.216 4.3 2.918 2.636 2.777 3.494
11.5 0.06 0.2 1.83 0.219 4.347 2.936 2.65 2.793 3.524
12 0.06 0.2 1.804 0.222 4.383 2.953 2.662 2.807 3.548
12.5 0.06 0.2 1.78 0.224 4.414 2.97 2.672 2.821 3.569
13 0.06 0.2 1.756 0.227 4.444 2.996 2.695 2.846 3.597
13.5 0.06 0.2 1.739 0.229 4.467 3.013 2.713 2.863 3.617
14 0.06 0.2 1.728 0.23 4.496 3.03 2.724 2.877 3.638
0.6 0.26 0.2 5.79 0.061 1.428 1.692 1.497 1.594 1.529
0.7 0.26 0.2 5.268 0.066 1.578 1.89 1.659 1.775 1.697
0.8 0.26 0.2 4.782 0.073 1.726 1.987 1.764 1.876 1.822
0.9 0.26 0.2 4.428 0.08 1.868 2.032 1.814 1.923 1.919
1 0.26 0.2 4.129 0.087 2.023 2.101 1.888 1.995 2.032
1.25 0.26 0.2 3.525 0.111 2.466 2.337 2.107 2.222 2.367
1.5 0.26 0.2 3.119 0.138 2.955 2.551 2.34 2.446 2.714
1.75 0.26 0.2 3.016 0.14 3.029 2.512 2.322 2.417 2.729
2 0.26 0.2 2.848 0.151 3.236 2.586 2.378 2.482 2.86
2.25 0.26 0.2 2.739 0.16 3.391 2.648 2.424 2.536 2.961
2.5 0.26 0.2 2.636 0.169 3.542 2.714 2.483 2.599 3.063
2.75 0.26 0.2 2.533 0.178 3.694 2.783 2.545 2.664 3.168
3 0.26 0.2 2.461 0.185 3.819 2.83 2.589 2.71 3.248
3.25 0.26 0.2 2.451 0.186 3.873 2.822 2.578 2.7 3.266
3.5 0.26 0.2 2.401 0.192 3.969 2.864 2.614 2.739 3.33
3.75 0.26 0.2 2.355 0.196 4.054 2.904 2.646 2.775 3.388
4 0.26 0.2 2.316 0.2 4.131 2.936 2.673 2.804 3.438
4.5 0.26 0.2 2.24 0.208 4.252 2.987 2.72 2.854 3.519
5 0.26 0.2 2.193 0.212 4.322 3.006 2.737 2.872 3.559
5.5 0.26 0.2 2.21 0.211 4.32 2.992 2.726 2.859 3.55
6 0.26 0.2 2.149 0.216 4.409 3.031 2.756 2.894 3.609
6.5 0.26 0.2 2.106 0.222 4.497 3.064 2.784 2.924 3.664
7 0.26 0.2 2.075 0.226 4.558 3.09 2.808 2.949 3.705
7.5 0.26 0.2 2.047 0.23 4.61 3.116 2.83 2.973 3.741
8 0.26 0.2 2.021 0.234 4.665 3.143 2.85 2.997 3.779
8.5 0.26 0.2 1.999 0.237 4.719 3.169 2.873 3.021 3.816
9 0.26 0.2 1.975 0.24 4.767 3.195 2.893 3.044 3.851
9.5 0.26 0.2 1.954 0.243 4.815 3.217 2.907 3.062 3.882
10 0.26 0.2 1.923 0.245 4.851 3.237 2.92 3.079 3.908
10.5 0.26 0.2 1.896 0.248 4.896 3.257 2.935 3.096 3.938
11 0.26 0.2 1.862 0.252 4.94 3.277 2.954 3.115 3.968
11.5 0.26 0.2 1.842 0.255 4.975 3.296 2.965 3.13 3.992
12 0.26 0.2 1.821 0.258 5.023 3.317 2.98 3.148 4.023
12.5 0.26 0.2 1.798 0.261 5.064 3.338 2.997 3.168 4.052
13 0.26 0.2 1.773 0.265 5.113 3.357 3.012 3.184 4.083
13.5 0.26 0.2 1.744 0.268 5.153 3.376 3.027 3.201 4.11
14 0.26 0.2 1.716 0.27 5.19 3.393 3.04 3.216 4.135
0.6 -0.96 0.4 5.357 0.02 0.755 0.649 0.626 0.637 0.696
0.7 -0.96 0.4 5.333 0.021 0.822 0.691 0.658 0.674 0.749
0.8 -0.96 0.4 5.32 0.023 0.877 0.714 0.674 0.694 0.785
0.9 -0.96 0.4 5.139 0.023 0.929 0.756 0.701 0.728 0.829
1 -0.96 0.4 4.81 0.025 0.966 0.824 0.753 0.788 0.881
1.25 -0.96 0.4 3.982 0.033 1.09 0.921 0.846 0.884 0.99
1.5 -0.96 0.4 3.606 0.036 1.104 1.003 0.92 0.961 1.04
1.75 -0.96 0.4 3.62 0.036 1.073 1.008 0.935 0.971 1.029
2 -0.96 0.4 3.513 0.037 1.097 1.032 0.956 0.994 1.053
2.25 -0.96 0.4 3.371 0.039 1.13 1.063 0.983 1.023 1.084
2.5 -0.96 0.4 3.265 0.041 1.156 1.079 0.995 1.037 1.105
2.75 -0.96 0.4 3.234 0.042 1.175 1.08 0.996 1.038 1.114
3 -0.96 0.4 3.141 0.043 1.19 1.097 1.01 1.053 1.13
3.25 -0.96 0.4 3.067 0.044 1.214 1.11 1.021 1.065 1.148
3.5 -0.96 0.4 3.034 0.044 1.225 1.117 1.027 1.072 1.157
3.75 -0.96 0.4 3.006 0.045 1.235 1.131 1.04 1.086 1.168
4 -0.96 0.4 2.95 0.046 1.248 1.145 1.052 1.098 1.182
4.5 -0.96 0.4 2.843 0.048 1.277 1.174 1.079 1.126 1.21
5 -0.96 0.4 2.788 0.049 1.303 1.186 1.092 1.139 1.229
5.5 -0.96 0.4 2.721 0.051 1.325 1.199 1.105 1.152 1.247
6 -0.96 0.4 2.633 0.052 1.346 1.219 1.123 1.171 1.266
6.5 -0.96 0.4 2.559 0.053 1.354 1.232 1.136 1.184 1.277
7 -0.96 0.4 2.546 0.054 1.361 1.24 1.145 1.192 1.285
7.5 -0.96 0.4 2.51 0.056 1.379 1.253 1.156 1.204 1.3
8 -0.96 0.4 2.467 0.057 1.397 1.266 1.167 1.217 1.315
8.5 -0.96 0.4 2.427 0.058 1.42 1.28 1.18 1.23 1.333
9 -0.96 0.4 2.397 0.06 1.44 1.29 1.188 1.239 1.348
9.5 -0.96 0.4 2.397 0.061 1.462 1.291 1.189 1.24 1.358
10 -0.96 0.4 2.496 0.061 1.458 1.277 1.176 1.227 1.349
10.5 -0.96 0.4 2.6 0.061 1.465 1.267 1.168 1.218 1.347
11 -0.96 0.4 2.706 0.061 1.461 1.262 1.166 1.214 1.344
11.5 -0.96 0.4 2.785 0.062 1.466 1.266 1.173 1.22 1.348
12 -0.96 0.4 2.862 0.063 1.466 1.267 1.174 1.221 1.349
12.5 -0.96 0.4 2.934 0.064 1.475 1.277 1.183 1.23 1.358
13 -0.96 0.4 2.934 0.065 1.482 1.289 1.195 1.242 1.368
13.5 -0.96 0.4 2.91 0.068 1.508 1.326 1.226 1.276 1.399
14 -0.96 0.4 2.824 0.07 1.52 1.34 1.236 1.288 1.412
0.6 -0.66 0.4 5.74 0.029 0.954 0.825 0.772 0.798 0.879
0.7 -0.66 0.4 5.656 0.029 1.022 0.857 0.787 0.822 0.925
0.8 -0.66 0.4 5.411 0.031 1.084 0.871 0.803 0.837 0.961
0.9 -0.66 0.4 5.054 0.034 1.142 0.909 0.835 0.872 1.008
1 -0.66 0.4 4.474 0.038 1.21 0.955 0.884 0.92 1.064
1.25 -0.66 0.4 4.118 0.053 1.431 1.207 1.093 1.15 1.297
1.5 -0.66 0.4 3.722 0.057 1.469 1.286 1.167 1.227 1.357
1.75 -0.66 0.4 3.353 0.065 1.591 1.353 1.228 1.291 1.448
2 -0.66 0.4 3.254 0.066 1.642 1.354 1.234 1.294 1.472
2.25 -0.66 0.4 3.133 0.069 1.695 1.38 1.259 1.319 1.511
2.5 -0.66 0.4 3.011 0.072 1.742 1.406 1.283 1.344 1.546
2.75 -0.66 0.4 2.97 0.074 1.769 1.419 1.292 1.356 1.564
3 -0.66 0.4 2.971 0.074 1.784 1.418 1.293 1.356 1.571
3.25 -0.66 0.4 2.976 0.076 1.806 1.424 1.3 1.362 1.584
3.5 -0.66 0.4 2.902 0.077 1.829 1.436 1.308 1.372 1.6
3.75 -0.66 0.4 2.839 0.078 1.851 1.447 1.318 1.382 1.616
4 -0.66 0.4 2.763 0.08 1.871 1.461 1.331 1.396 1.633
4.5 -0.66 0.4 2.708 0.082 1.894 1.482 1.351 1.416 1.654
5 -0.66 0.4 2.625 0.084 1.923 1.502 1.367 1.434 1.678
5.5 -0.66 0.4 2.561 0.086 1.946 1.519 1.383 1.451 1.697
6 -0.66 0.4 2.49 0.088 1.971 1.54 1.401 1.471 1.72
6.5 -0.66 0.4 2.416 0.09 2.008 1.568 1.423 1.495 1.751
7 -0.66 0.4 2.353 0.092 2.024 1.588 1.437 1.513 1.769
7.5 -0.66 0.4 2.297 0.094 2.038 1.605 1.449 1.527 1.784
8 -0.66 0.4 2.267 0.095 2.062 1.619 1.462 1.54 1.802
8.5 -0.66 0.4 2.232 0.097 2.084 1.631 1.474 1.552 1.819
9 -0.66 0.4 2.2 0.099 2.124 1.646 1.486 1.566 1.844
9.5 -0.66 0.4 2.184 0.1 2.138 1.653 1.488 1.571 1.854
10 -0.66 0.4 2.151 0.102 2.169 1.665 1.496 1.58 1.873
10.5 -0.66 0.4 2.135 0.103 2.198 1.674 1.505 1.59 1.891
11 -0.66 0.4 2.276 0.103 2.185 1.642 1.471 1.556 1.866
11.5 -0.66 0.4 2.388 0.101 2.156 1.608 1.452 1.53 1.837
12 -0.66 0.4 2.538 0.102 2.173 1.605 1.456 1.531 1.843
12.5 -0.66 0.4 2.647 0.102 2.183 1.594 1.452 1.523 1.842
13 -0.66 0.4 2.741 0.103 2.19 1.602 1.458 1.53 1.849
13.5 -0.66 0.4 2.817 0.104 2.184 1.612 1.47 1.541 1.853
14 -0.66 0.4 2.831 0.106 2.187 1.634 1.492 1.563 1.867
0.6 -0.35 0.4 5.875 0.034 1.108 0.957 0.899 0.928 1.021
0.7 -0.35 0.4 5.41 0.038 1.199 0.986 0.949 0.968 1.082
0.8 -0.35 0.4 5.164 0.041 1.294 1.057 1.005 1.031 1.161
0.9 -0.35 0.4 4.859 0.045 1.404 1.133 1.064 1.099 1.251
1 -0.35 0.4 4.602 0.049 1.47 1.204 1.119 1.162 1.318
1.25 -0.35 0.4 3.636 0.075 1.871 1.498 1.388 1.443 1.657
1.5 -0.35 0.4 3.567 0.082 1.951 1.551 1.444 1.498 1.723
1.75 -0.35 0.4 3.231 0.092 2.138 1.651 1.515 1.583 1.857
2 -0.35 0.4 3.058 0.097 2.24 1.684 1.544 1.614 1.919
2.25 -0.35 0.4 2.959 0.099 2.281 1.69 1.546 1.618 1.94
2.5 -0.35 0.4 2.845 0.102 2.351 1.712 1.565 1.638 1.982
2.75 -0.35 0.4 2.744 0.104 2.385 1.73 1.582 1.656 2.007
3 -0.35 0.4 2.681 0.106 2.411 1.733 1.584 1.659 2.019
3.25 -0.35 0.4 2.644 0.106 2.41 1.723 1.58 1.652 2.014
3.5 -0.35 0.4 2.602 0.107 2.432 1.735 1.591 1.663 2.03
3.75 -0.35 0.4 2.539 0.108 2.453 1.748 1.597 1.672 2.045
4 -0.35 0.4 2.46 0.11 2.498 1.763 1.606 1.684 2.072
4.5 -0.35 0.4 2.415 0.113 2.549 1.769 1.61 1.69 2.096
5 -0.35 0.4 2.377 0.114 2.564 1.776 1.613 1.695 2.107
5.5 -0.35 0.4 2.31 0.117 2.633 1.806 1.633 1.72 2.151
6 -0.35 0.4 2.258 0.119 2.666 1.822 1.646 1.734 2.174
6.5 -0.35 0.4 2.205 0.121 2.705 1.847 1.667 1.757 2.204
7 -0.35 0.4 2.174 0.124 2.759 1.865 1.684 1.775 2.237
7.5 -0.35 0.4 2.144 0.126 2.795 1.89 1.701 1.796 2.266
8 -0.35 0.4 2.111 0.129 2.847 1.912 1.718 1.815 2.3
8.5 -0.35 0.4 2.09 0.131 2.884 1.924 1.723 1.823 2.321
9 -0.35 0.4 2.085 0.132 2.89 1.935 1.732 1.834 2.33
9.5 -0.35 0.4 2.046 0.134 2.901 1.939 1.736 1.837 2.337
10 -0.35 0.4 2.039 0.135 2.93 1.95 1.744 1.847 2.355
10.5 -0.35 0.4 2.007 0.136 2.94 1.949 1.75 1.849 2.359
11 -0.35 0.4 1.989 0.138 2.967 1.96 1.756 1.858 2.376
11.5 -0.35 0.4 1.968 0.139 2.985 1.962 1.759 1.861 2.385
12 -0.35 0.4 1.962 0.14 3.004 1.967 1.766 1.867 2.396
12.5 -0.35 0.4 1.949 0.142 3.037 1.979 1.774 1.876 2.416
13 -0.35 0.4 1.989 0.143 3.066 2.001 1.788 1.894 2.44
13.5 -0.35 0.4 2.007 0.144 3.074 2.012 1.794 1.903 2.449
14 -0.35 0.4 2.022 0.145 3.088 2.015 1.797 1.906 2.456
0.6 0.06 0.4 5.69 0.054 1.571 1.466 1.305 1.386 1.494
0.7 0.06 0.4 5.215 0.061 1.714 1.606 1.411 1.508 1.631
0.8 0.06 0.4 4.742 0.071 1.901 1.742 1.525 1.633 1.788
0.9 0.06 0.4 4.258 0.084 2.115 1.873 1.647 1.76 1.956
1 0.06 0.4 3.776 0.106 2.442 2.065 1.832 1.949 2.21
1.25 0.06 0.4 3.535 0.114 2.571 2.051 1.855 1.953 2.266
1.5 0.06 0.4 3.261 0.125 2.787 2.132 1.933 2.032 2.405
1.75 0.06 0.4 3.104 0.132 2.962 2.163 1.937 2.05 2.494
2 0.06 0.4 2.901 0.14 3.143 2.247 2.004 2.125 2.617
2.25 0.06 0.4 2.781 0.146 3.259 2.293 2.043 2.168 2.692
2.5 0.06 0.4 2.732 0.149 3.325 2.296 2.042 2.169 2.72
2.75 0.06 0.4 2.661 0.152 3.395 2.322 2.054 2.188 2.762
3 0.06 0.4 2.601 0.155 3.469 2.342 2.072 2.207 2.804
3.25 0.06 0.4 2.544 0.159 3.538 2.364 2.092 2.228 2.845
3.5 0.06 0.4 2.497 0.162 3.606 2.382 2.11 2.246 2.883
3.75 0.06 0.4 2.461 0.165 3.65 2.392 2.12 2.256 2.908
4 0.06 0.4 2.433 0.167 3.703 2.399 2.126 2.263 2.933
4.5 0.06 0.4 2.374 0.171 3.786 2.421 2.143 2.282 2.978
5 0.06 0.4 2.309 0.176 3.874 2.445 2.16 2.302 3.027
5.5 0.06 0.4 2.27 0.179 3.947 2.461 2.171 2.316 3.065
6 0.06 0.4 2.24 0.182 4.009 2.473 2.181 2.327 3.097
6.5 0.06 0.4 2.213 0.185 4.077 2.502 2.203 2.352 3.14
7 0.06 0.4 2.167 0.189 4.13 2.506 2.208 2.357 3.163
7.5 0.06 0.4 2.146 0.191 4.175 2.526 2.222 2.374 3.192
8 0.06 0.4 2.118 0.194 4.225 2.545 2.235 2.39 3.223
8.5 0.06 0.4 2.079 0.197 4.284 2.569 2.252 2.41 3.26
9 0.06 0.4 2.041 0.2 4.334 2.576 2.259 2.418 3.283
9.5 0.06 0.4 2.01 0.202 4.375 2.59 2.273 2.432 3.308
10 0.06 0.4 1.986 0.205 4.414 2.609 2.287 2.448 3.335
10.5 0.06 0.4 1.956 0.207 4.455 2.629 2.302 2.466 3.362
11 0.06 0.4 1.93 0.21 4.497 2.646 2.315 2.48 3.388
11.5 0.06 0.4 1.915 0.212 4.526 2.662 2.332 2.497 3.41
12 0.06 0.4 1.894 0.214 4.559 2.683 2.346 2.515 3.436
12.5 0.06 0.4 1.875 0.216 4.589 2.696 2.355 2.525 3.454
13 0.06 0.4 1.866 0.218 4.62 2.719 2.374 2.546 3.481
13.5 0.06 0.4 1.851 0.22 4.645 2.733 2.38 2.557 3.498
