*
* Ovkansen zeewaterstand OS11
* WBI2017: 12-uursmaxima, gegeven windrichting
*
* Project: PR3556.10
* Door:    Chris Geerse van HKV lijn in water
* Datum:   augustus 2017
*
*
* m, m+NAP  NNO            NO             ONO            O              OZO            ZO             ZZO            Z              ZZW            ZW             WZW            W              WNW            NW             NNW            N
  4.64      4.711e-08      1.240e-14      9.707e-15      7.647e-15      1.010e-14      1.057e-14      9.094e-15      5.646e-15      3.035e-11      3.556e-09      1.685e-07      1.343e-06      8.209e-06      1.171e-05      1.200e-05      2.904e-07 
  4.74      2.865e-08      3.851e-15      3.015e-15      2.375e-15      3.137e-15      3.284e-15      2.826e-15      1.754e-15      1.372e-11      1.854e-09      1.038e-07      8.325e-07      5.472e-06      7.906e-06      8.187e-06      1.766e-07 
  4.84      1.741e-08      1.190e-15      9.315e-16      7.338e-16      9.695e-16      1.015e-15      8.729e-16      5.419e-16      6.190e-12      9.646e-10      6.393e-08      5.153e-07      3.645e-06      5.334e-06      5.580e-06      1.073e-07 
  4.94      1.055e-08      3.656e-16      2.863e-16      2.255e-16      2.978e-16      3.118e-16      2.683e-16      1.665e-16      2.787e-12      5.012e-10      3.934e-08      3.185e-07      2.425e-06      3.595e-06      3.799e-06      6.506e-08 
  5.04      6.392e-09      1.118e-16      8.750e-17      6.893e-17      9.104e-17      9.530e-17      8.199e-17      5.090e-17      1.252e-12      2.596e-10      2.419e-08      1.966e-07      1.612e-06      2.419e-06      2.583e-06      3.940e-08 
  5.14      3.866e-09      3.398e-17      2.661e-17      2.096e-17      2.768e-17      2.898e-17      2.493e-17      1.548e-17      5.612e-13      1.343e-10      1.486e-08      1.212e-07      1.070e-06      1.627e-06      1.754e-06      2.383e-08 
  5.24      2.334e-09      1.028e-17      8.049e-18      6.341e-18      8.374e-18      8.766e-18      7.542e-18      4.682e-18      2.511e-13      6.933e-11      9.129e-09      7.464e-08      7.097e-07      1.092e-06      1.189e-06      1.439e-08 
  5.34      1.408e-09      3.095e-18      2.423e-18      1.909e-18      2.520e-18      2.638e-18      2.270e-18      1.409e-18      1.121e-13      3.574e-11      5.602e-09      4.591e-08      4.702e-07      7.326e-07      8.054e-07      8.678e-09 
  5.44      8.480e-10      9.268e-19      7.256e-19      5.716e-19      7.549e-19      7.903e-19      6.800e-19      4.221e-19      4.994e-14      1.839e-11      3.434e-09      2.820e-08      3.111e-07      4.908e-07      5.448e-07      5.227e-09 
  5.54      5.101e-10      2.763e-19      2.163e-19      1.704e-19      2.250e-19      2.356e-19      2.027e-19      1.258e-19      2.221e-14      9.438e-12      2.103e-09      1.730e-08      2.057e-07      3.285e-07      3.681e-07      3.144e-09 
  5.64      3.065e-10      8.193e-20      6.415e-20      5.053e-20      6.674e-20      6.986e-20      6.010e-20      3.731e-20      9.862e-15      4.841e-12      1.288e-09      1.061e-08      1.359e-07      2.197e-07      2.484e-07      1.889e-09 
  5.74      1.838e-10      2.418e-20      1.893e-20      1.492e-20      1.970e-20      2.062e-20      1.774e-20      1.101e-20      4.368e-15      2.476e-12      7.874e-10      6.492e-09      8.962e-08      1.467e-07      1.674e-07      1.133e-09 
  5.84      1.102e-10      7.106e-21      5.563e-21      4.382e-21      5.788e-21      6.059e-21      5.213e-21      3.236e-21      1.931e-15      1.265e-12      4.810e-10      3.970e-09      5.910e-08      9.788e-08      1.127e-07      6.791e-10 
  5.94      6.593e-11      2.078e-21      1.627e-21      1.282e-21      1.693e-21      1.772e-21      1.525e-21      9.463e-22      8.527e-16      6.448e-13      2.936e-10      2.425e-09      3.892e-08      6.525e-08      7.581e-08      4.064e-10 
  6.04      3.941e-11      6.050e-22      4.736e-22      3.731e-22      4.927e-22      5.158e-22      4.438e-22      2.755e-22      3.757e-16      3.283e-13      1.791e-10      1.480e-09      2.560e-08      4.345e-08      5.093e-08      2.429e-10 
  6.14      2.352e-11      1.753e-22      1.373e-22      1.081e-22      1.428e-22      1.495e-22      1.286e-22      7.983e-23      1.653e-16      1.668e-13      1.091e-10      9.019e-10      1.682e-08      2.890e-08      3.417e-08      1.450e-10 
  6.24      1.403e-11      5.058e-23      3.959e-23      3.119e-23      4.120e-23      4.313e-23      3.710e-23      2.303e-23      7.257e-17      8.465e-14      6.638e-11      5.492e-10      1.105e-08      1.921e-08      2.290e-08      8.649e-11 
  6.34      8.358e-12      1.453e-23      1.137e-23      8.960e-24      1.184e-23      1.239e-23      1.066e-23      6.616e-24      3.181e-17      4.288e-14      4.035e-11      3.340e-10      7.246e-09      1.275e-08      1.534e-08      5.152e-11 
  6.44      4.972e-12      4.155e-24      3.253e-24      2.562e-24      3.384e-24      3.543e-24      3.048e-24      1.892e-24      1.392e-17      2.168e-14      2.452e-11      2.030e-10      4.749e-09      8.458e-09      1.026e-08      3.065e-11 
  6.54      2.956e-12      1.183e-24      9.263e-25      7.297e-25      9.639e-25      1.009e-24      8.680e-25      5.388e-25      6.080e-18      1.095e-14      1.487e-11      1.232e-10      3.109e-09      5.605e-09      6.851e-09      1.822e-11 
  6.64      1.754e-12      3.355e-25      2.626e-25      2.069e-25      2.733e-25      2.861e-25      2.461e-25      1.528e-25      2.651e-18      5.518e-15      9.018e-12      7.471e-11      2.034e-09      3.711e-09      4.573e-09      1.081e-11 
  6.74      1.040e-12      9.475e-26      7.417e-26      5.843e-26      7.717e-26      8.079e-26      6.950e-26      4.314e-26      1.155e-18      2.779e-15      5.462e-12      4.526e-11      1.329e-09      2.455e-09      3.049e-09      6.412e-12 
  6.84      6.162e-13      2.664e-26      2.086e-26      1.643e-26      2.170e-26      2.272e-26      1.954e-26      1.213e-26      5.019e-19      1.397e-15      3.305e-12      2.739e-11      8.677e-10      1.622e-09      2.030e-09      3.798e-12 
  6.94      3.645e-13      7.461e-27      5.841e-27      4.601e-27      6.077e-27      6.362e-27      5.473e-27      3.398e-27      2.179e-19      7.009e-16      1.998e-12      1.656e-11      5.661e-10      1.071e-09      1.351e-09      2.247e-12 
  7.04      2.154e-13      2.081e-27      1.629e-27      1.283e-27      1.695e-27      1.774e-27      1.527e-27      9.477e-28      9.443e-20      3.511e-16      1.208e-12      1.001e-11      3.690e-10      7.065e-10      8.980e-10      1.328e-12 
  7.14      1.272e-13      5.781e-28      4.526e-28      3.565e-28      4.709e-28      4.930e-28      4.242e-28      2.633e-28      4.085e-20      1.757e-16      7.283e-13      6.038e-12      2.403e-10      4.657e-10      5.963e-10      7.842e-13 
  7.24      7.505e-14      1.600e-28      1.253e-28      9.866e-29      1.303e-28      1.364e-28      1.174e-28      7.285e-29      1.765e-20      8.777e-17      4.392e-13      3.641e-12      1.564e-10      3.067e-10      3.956e-10      4.626e-13 
  7.34      4.421e-14      4.409e-29      3.452e-29      2.719e-29      3.592e-29      3.760e-29      3.235e-29      2.008e-29      7.611e-21      4.379e-17      2.645e-13      2.193e-12      1.016e-10      2.018e-10      2.622e-10      2.725e-13 
  7.44      2.602e-14      1.211e-29      9.480e-30      7.466e-30      9.863e-30      1.033e-29      8.883e-30      5.513e-30      3.278e-21      2.182e-17      1.592e-13      1.320e-12      6.601e-11      1.326e-10      1.736e-10      1.604e-13 
  7.54      1.530e-14      3.311e-30      2.592e-30      2.042e-30      2.697e-30      2.823e-30      2.429e-30      1.508e-30      1.410e-21      1.086e-17      9.572e-14      7.937e-13      4.284e-11      8.714e-11      1.148e-10      9.434e-14 
  7.64      8.991e-15      9.022e-31      7.063e-31      5.564e-31      7.348e-31      7.692e-31      6.618e-31      4.108e-31      6.055e-22      5.390e-18      5.751e-14      4.769e-13      2.778e-11      5.719e-11      7.588e-11      5.542e-14 
  7.74      5.276e-15      2.449e-31      1.917e-31      1.510e-31      1.994e-31      2.088e-31      1.797e-31      1.115e-31      2.596e-22      2.675e-18      3.452e-14      2.863e-13      1.800e-11      3.750e-11      5.010e-11      3.252e-14 
  7.84      3.094e-15      6.623e-32      5.185e-32      4.084e-32      5.394e-32      5.647e-32      4.859e-32      3.016e-32      1.112e-22      1.325e-18      2.070e-14      1.717e-13      1.165e-11      2.457e-11      3.305e-11      1.907e-14 
  7.94      1.812e-15      1.785e-32      1.397e-32      1.100e-32      1.453e-32      1.521e-32      1.309e-32      8.126e-33      4.755e-23      6.556e-19      1.241e-14      1.029e-13      7.536e-12      1.609e-11      2.178e-11      1.117e-14 
  8.00      1.314e-15      8.112e-33      6.349e-33      5.002e-33      6.606e-33      6.916e-33      5.950e-33      3.693e-33      2.854e-23      4.296e-19      9.120e-15      7.563e-14      5.800e-12      1.247e-11      1.696e-11      8.100e-15 
