"","l","n","Cab","Car","Cbrown","Cw","Cm"
"152",551,1.4301,0.013,0.003109,0.35,0.0005998,2.3
"153",552,1.4298,0.01314,0.002471,0.3489,0.000611,2.3
"154",553,1.4294,0.01327,0.001903,0.3478,0.0006215,2.3
"155",554,1.429,0.0134,0.001406,0.3467,0.000631,2.3
"156",555,1.4285,0.01353,0.0009822,0.3456,0.0006391,2.3
"157",556,1.428,0.01367,0.0006322,0.3445,0.000646,2.3
"158",557,1.4274,0.0138,0.0003577,0.3434,0.000652,2.3
"159",558,1.4268,0.01394,0.0001599,0.3423,0.000658,2.3
"160",559,1.4262,0.01408,4.019e-05,0.3412,0.0006647,2.3
"161",560,1.4255,0.01421,0,0.3401,0.000672,2.3
"162",561,1.4248,0.01435,0,0.3383,0.0006793,2.3
"163",562,1.4241,0.01451,0,0.3366,0.000686,2.3
"164",563,1.4234,0.01469,0,0.3348,0.000692,2.3
"165",564,1.4227,0.01489,0,0.333,0.000699,2.3
"166",565,1.422,0.01511,0,0.3312,0.0007084,2.3
"167",566,1.4213,0.01535,0,0.3294,0.000718,2.3
"168",567,1.4206,0.01561,0,0.3276,0.0007257,2.3
"169",568,1.4199,0.01589,0,0.3258,0.000734,2.3
"170",569,1.4192,0.01619,0,0.3241,0.0007455,2.3
"171",570,1.4185,0.0165,0,0.3223,0.000759,2.3
"172",571,1.4179,0.01683,0,0.3202,0.0007729,2.3
"173",572,1.4173,0.01716,0,0.3182,0.000787,2.3
"174",573,1.4167,0.01749,0,0.3162,0.000802,2.3
"175",574,1.4161,0.01782,0,0.3141,0.000819,2.3
"176",575,1.4156,0.01814,0,0.3121,0.0008386,2.3
"177",576,1.4151,0.01846,0,0.31,0.000858,2.3
"178",577,1.4146,0.01876,0,0.308,0.0008754,2.3
"179",578,1.4141,0.01905,0,0.3059,0.000896,2.3
"180",579,1.4137,0.01933,0,0.3039,0.0009238,2.3
"181",580,1.4133,0.0196,0,0.3019,0.000952,2.3
"182",581,1.4129,0.01986,0,0.2999,0.0009745,2.3
"183",582,1.4126,0.02011,0,0.2979,0.001,2.3
"184",583,1.4123,0.02035,0,0.2959,0.001037,2.3
"185",584,1.412,0.02058,0,0.294,0.001079,2.3
"186",585,1.4117,0.02079,0,0.292,0.001119,2.3
"187",586,1.4114,0.021,0,0.29,0.001159,2.3
"188",587,1.4112,0.0212,0,0.2881,0.001204,2.3
"189",588,1.4109,0.02138,0,0.2861,0.001253,2.3
"190",589,1.4107,0.02155,0,0.2841,0.001304,2.3
"191",590,1.4105,0.02171,0,0.2821,0.001356,2.3
"192",591,1.4103,0.02185,0,0.2803,0.001408,2.3
"193",592,1.4101,0.02199,0,0.2784,0.001459,2.3
"194",593,1.4099,0.02211,0,0.2766,0.00151,2.3
"195",594,1.4097,0.02222,0,0.2747,0.001567,2.3
"196",595,1.4095,0.02231,0,0.2728,0.001635,2.3
"197",596,1.4093,0.02241,0,0.271,0.0017,2.3
"198",597,1.4091,0.0225,0,0.2691,0.001758,2.3
"199",598,1.4089,0.02259,0,0.2673,0.00186,2.3
"200",599,1.4087,0.02269,0,0.2654,0.002042,2.3
"201",600,1.4086,0.02279,0,0.2636,0.002224,2.3
"202",601,1.4084,0.02291,0,0.2618,0.002323,2.3
"203",602,1.4082,0.02304,0,0.2601,0.002366,2.3
"204",603,1.4081,0.02319,0,0.2584,0.0024,2.3
"205",604,1.4079,0.02337,0,0.2566,0.002448,2.3
"206",605,1.4078,0.02356,0,0.2549,0.002519,2.3
"207",606,1.4077,0.02378,0,0.2532,0.002587,2.3
"208",607,1.4076,0.02403,0,0.2515,0.002629,2.3
"209",608,1.4075,0.0243,0,0.2497,0.002653,2.3
"210",609,1.4075,0.02459,0,0.248,0.002674,2.3
"211",610,1.4075,0.02489,0,0.2463,0.002691,2.3
"212",611,1.4075,0.0252,0,0.2447,0.002704,2.3
"213",612,1.4075,0.02552,0,0.2431,0.002715,2.3
"214",613,1.4076,0.02586,0,0.2414,0.002727,2.3
"215",614,1.4077,0.0262,0,0.2398,0.00274,2.3
"216",615,1.4077,0.02654,0,0.2382,0.002753,2.3
"217",616,1.4078,0.02687,0,0.2366,0.002764,2.3
"218",617,1.4079,0.02719,0,0.235,0.002775,2.3
"219",618,1.408,0.0275,0,0.2334,0.002785,2.3
"220",619,1.4081,0.02778,0,0.2318,0.002797,2.3
"221",620,1.4082,0.02803,0,0.2302,0.00281,2.3
"222",621,1.4083,0.02826,0,0.2288,0.002824,2.3
"223",622,1.4083,0.02845,0,0.2273,0.002839,2.3
"224",623,1.4083,0.02862,0,0.2258,0.002854,2.3
"225",624,1.4083,0.02877,0,0.2244,0.002868,2.3
"226",625,1.4082,0.02888,0,0.2229,0.002881,2.3
"227",626,1.4082,0.02898,0,0.2215,0.002893,2.3
"228",627,1.4081,0.02905,0,0.22,0.002907,2.3
"229",628,1.4079,0.0291,0,0.2185,0.002922,2.3
"230",629,1.4078,0.02916,0,0.2171,0.002938,2.3
"231",630,1.4077,0.02921,0,0.2156,0.002955,2.3
"232",631,1.4076,0.02928,0,0.2143,0.002972,2.3
"233",632,1.4076,0.02938,0,0.2129,0.002988,2.3
"234",633,1.4076,0.02951,0,0.2115,0.003,2.3
